Metadata Item,Description,Protocol-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry"
Spike / Outlier Filtering Approach,"Method used to identify and remove anomalous signal spikes arising from micronuggets, inclusions, cracks, or instrument artifacts during time-resolved signal processing. Editable because the specific implementation may vary between sessions while remaining within the protocol framework.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed in Iolite' | 'Statistical filter: data points >3σ from running mean removed' | 'No filtering applied' | 'Automated spike detection in SILLS'",,,Y,Y,Y,,"N (raster scans; ""failed to yield useful Ge abundances"" for Klamath Falls noted — implying visual quality control)",Manual identification and exclusion of P-rich veinlet pixels from olivine averages; anomalous spikes from inclusions excluded per line,"Manual inspection; analyses with elevated P, Ca, Co, Ni (phosphate or metal inclusions) excluded; Cr heterogeneities also flagged",Anomalous time steps excluded during manual inspection,k-means clustering in HDIP software for automated phase segmentation; mixed-phase edge pixels and epoxy pixels identified by threshold and excluded,Manual selection of integration pixels; cross-contamination between adjacent minerals minimized by selecting points restricted to single mineral based on ME distribution,"Time steps with enhanced P, Ca, Co, Ni, Zn excluded (inclusions and heterogeneities); Grubb's test applied to EPMA data for outlier detection","Monitoring of Mg, Si, P, S to check for micro-inclusions (sulfides); analyses with elevated inclusion signals excluded entirely",N (no explicit spike filtering described beyond background subtraction),N (mapping; iolite 3D DRS handles background; no per-pixel spike filtering described),Cycles with 87Rb/86Sr >1 deleted (invalid Rb interference correction); cycles with 88Sr signal <0.2 V discarded (poor precision); SUIA method applied to heterogeneous minerals,"Homogeneity index (H) applied to test element distribution; Co, Ni, Cu in high-Si glass (GSR-1) identified as near-LOD and flagged; flux blank contributions to pollution elements subtracted",Micronuggets identified from Au signal spikes in time-resolved spectra; excluded from integration (smooth signals = fully dissolved Au; Fig. 1 shows this criterion),Same approach as glass; Au spike identification critical for determining solubility vs. nugget contribution
Blank / Background Correction Method,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions.",Basic,Read-Only,Text (free),"e.g., 'Mean of 30 s pre-ablation gas blank subtracted per isotope per analysis' | 'Separate gas blank map (10 adjacent lines, laser off) acquired for each GRM; mean used for subtraction'",,,Y,Y,Y,,Gas blank measured before each raster analysis; mean background subtracted,Gas blank measured before each ablation line (10 scans of gas blank per mapping line); average background subtracted from each corresponding ablation line,Gas blank measured before each analysis (5 scans); average background value preceding each analysis subtracted from corresponding data,Gas blank measured before each spot analysis (8 scans); average background subtracted,"Gas blank map (10 adjacent lines, laser shutter closed) acquired for each GRM at session start and after each set of samples; mean background subtracted",Background measured before each line scan area; washout time (~3 s) used to define start of new ablation period,Gas blank measured before each analysis (laser shutter closed); time steps with background-level signals excluded during data reduction,Gas blank measured before each spot; background period during single spot transient (rapid intensity rise and decay) used for background correction,Background signal measured for 20 s (laser shutter closed) before each 40 s ablation; background mean subtracted per isotope in iolite,Background (1 min) measured at session start; additional 3 measurements of NIST and North Chile used for calibration (background included in regression line for gas blank),First 30 cycles (no laser ablation) used for background collection; background Kr⁺ signals removed by correction; no additional Kr peak stripping applied,Gas blank measured for 25 s before each ablation; background subtracted per isotope,N (background subtraction performed but method not explicitly described; implied from standard Agilent/iolite workflow),N (same as glass protocol)
Pulse/Analog Detector Nonlinearity Correction,Whether a correction was applied for nonlinear response at the transition between pulse-counting and analog detector modes.,Advanced,Editable,Controlled list / Text,Not applicable (instrument uses pulse counting only) | Applied: describe method and elements affected | Not applied (crossover threshold not reached for any element) | Not applied (known bias accepted),,,Y,Y,Y,,Applied: triple mode detection at 65% duty cycle (pulse counting + analog + Faraday); specific cross-calibration not described,Applied: triple mode detection; cross-calibration between pulse-counting and analog modes performed,Applied: Run 1 medium resolution with Faraday for major elements; Run 2 low resolution; cross-calibration performed,Applied: triple mode detection,N/A — ToF detector; MCP with simultaneous detection; notch filter for Ar-based ions prevents detector saturation,N/A (quadrupole with SEM; single detection mode),N (parameters lost),N (quadrupole X-series 2; single detector mode),"Applied: triple mode detector (pulse counting, analog, Faraday); low relative abundance isotopes chosen for Ni and Fe to allow analog mode measurement of major matrix elements",Applied (same as spot),N/A (MC-ICP-MS; Faraday cups and electron multiplier ICs; no pulse/analog transition),Applied: dual detector mode (30 ms / 10 ms dwell alternation),N,N
Isobaric Interference Corrections Applied,"Whether isobaric interference corrections were applied for any measured isotope in this protocol. A protocol-level Boolean: if the protocol includes interference corrections, this is always Yes. Element-specific detail is captured in Interfering Species and Interference Correction Method.",Basic,Read-Only,Boolean,Yes | No,,Analyte specific,Y,Y,Y,,Yes — ⁹⁹Ru used instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺ interference; isotope selection minimizes other interferences,Yes — cool plasma conditions (800 W) applied to reduce argide-based interferences (³⁶Ar²⁴Mg⁺ on ⁶⁰Ni; ⁴⁰Ar³¹P⁺ on ⁷¹Ga); oxide-based interferences minimized by dry plasma and tuning; mathematical corrections in some cases (Table C1),Yes — cool plasma not applicable (normal plasma); argide corrections less critical; oxide interferences monitored; spectral interference list in Table C1,Yes — same instrument settings; interference corrections as per Table C1,"Yes — notch filter quadrupole attenuates ³⁶Ar⁺, ⁴⁰Ar⁺, ⁴⁰ArH⁺, ⁴⁰Ar⁴⁰Ar⁺ to avoid detector saturation",Yes — KED (kinetic energy discrimination) mode with He collision gas (4 ml min⁻¹) suppresses polyatomic ion interferences,N (parameters lost; medium resolution mode implies interference resolution by mass),"No explicit corrections applied; monitoring of Mg, Si, P, S used to detect and exclude inclusion-contaminated analyses rather than correct for spectral interferences","Yes — isotope selection to minimize interferences (e.g., ⁹⁹Ru instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺; low abundance isotopes for Fe and Ni)",Yes (same as spot protocol),Yes — correction for doubly charged ions: ¹⁶⁸Er²⁺ on ⁸⁴Sr; ¹⁷⁰Er²⁺ and ¹⁷⁰Yb²⁺ on ⁸⁵Rb; ¹⁷²Yb²⁺ on ⁸⁶Sr; ¹⁷⁴Yb²⁺ on ⁸⁷Sr; ⁸⁷Rb isobaric on ⁸⁷Sr (corrected using 85Rb signal and exponential law),"Yes — fs laser substantially reduces oxide and matrix interferences; flux blank contributions to V, Co, Zn, Ba, La, Ce, Ta, U identified and subtracted",Yes (fs laser reduces interferences),Yes (fs laser reduces interferences)
Interfering Species,"Elemental or molecular species (oxides, argides, doubly charged ions) overlapping with the measured isotope.",Basic,Read-Only,Text (free),"e.g., '⁸⁷Rb on ⁸⁷Sr; ¹⁷⁰Yb²⁺ on ⁸⁵Rb' | '⁴⁰Ar³¹P⁺ on ⁷¹Ga; ⁴⁴Ca¹⁶O⁺ on ⁶⁰Ni' | '¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu' | 'None'",,Analyte specific,Y,Y,Y,,⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (most abundant Ru isotope → use ⁹⁹Ru instead),Per Table C1: ¹²C¹³C⁺ on ²⁵Mg; ¹⁵N¹⁶O⁺ on ³¹P; ²⁹Si¹⁶O⁺ on ⁴⁵Sc; ³⁵Cl¹⁶O⁺ on ⁵¹V; ⁴⁰Ar¹³C⁺ on ⁵³Cr; ⁴⁰Ar¹⁵N⁺ on ⁵⁵Mn; ⁴⁰Ar¹⁶OH⁺ on ⁵⁷Fe; ⁴⁴Ca¹⁶O⁺ and ²⁴Mg³⁶Ar⁺ on ⁶⁰Ni; ³¹P⁴⁰Ar⁺ and ⁵⁵Mn¹⁶O⁺ on ⁷¹Ga; ¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu (most significant interferences in bold),Same interference list as mapping (Table C1); argide-based interferences less critical without cool plasma,Same interference list (Table C1),"³⁶Ar⁺, ⁴⁰Ar⁺, ⁴⁰ArH⁺, ⁴⁰Ar⁴⁰Ar⁺ (attenuated by notch-filter quadrupole)",Polyatomic ions (oxide ions ThO⁺/Th⁺ as proxy); argide ions suppressed by KED; no specific element-by-element list given,N (parameters lost; medium resolution resolves most polyatomic interferences),"Sulfide inclusions detectable via ³³S signal; phosphide inclusions via ³¹P; silicate inclusions via ²⁴Mg, ²⁹Si (used to exclude contaminated analyses)",⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (primary concern) → ⁹⁹Ru used instead; Fe and Ni matrix species on other isotopes minimized by isotope selection,Same as spot protocol,¹⁶⁸Er²⁺ on ⁸⁴Sr; ¹⁷⁰Er²⁺ + ¹⁷⁰Yb²⁺ on ⁸⁵Rb; ¹⁷²Yb²⁺ on ⁸⁶Sr; ¹⁷⁴Yb²⁺ on ⁸⁷Sr; ⁸⁷Rb on ⁸⁷Sr (isobaric),"Li₂B₄O₇ flux blank contains V, Co, Zn, Ba, La, Ce, Ta, U at detectable levels; subtracted as blank contribution",N,N
Interference Correction Method,"Equation or procedure used to correct for isobaric interferences, including the production rate factor and the reference material used to measure it.",Basic,Read-Only,Text (free),"e.g., 'Mathematical correction: ⁸⁷Sr_corrected = ⁸⁷Sr_measured − f(⁸⁷Rb/⁸⁵Rb) × ⁸⁵Rb' | 'Cool plasma (800 W) reduces ⁴⁰Ar-based argides by >90% for ⁶⁰Ni and ⁷¹Ga' | 'KED mode (He collision gas 4 ml min⁻¹) suppresses polyatomic interferences'",,Analyte specific,Y,Y,Y,,Isotope selection: ⁹⁹Ru chosen over ¹⁰¹Ru; other isotopes chosen to minimize interference,"Physical mitigation: cool plasma (800 W RF) reduces ³⁶Ar²⁴Mg⁺ on ⁶⁰Ni, ⁴⁰Ar³¹P⁺ on ⁷¹Ga by >90%; oxide interferences minimized by dry plasma conditions; background subtraction corrects for time-invariant Ar-based interferences; mathematical corrections applied where feasible per Appendix C4",Argide corrections less critical (normal plasma); oxide-based interferences minimized by tuning; same interference list but without cool plasma mitigation,Same approach as mapping; oxide sum normalization partially corrects for matrix-dependent interferences,"Physical attenuation: notch-filter quadrupole removes Ar-based ions (³⁶Ar⁺, ⁴⁰Ar⁺, ⁴⁰ArH⁺, ⁴⁰Ar⁴⁰Ar⁺) before detector to prevent saturation",KED mode with He collision gas (4 ml min⁻¹): interfering polyatomic ions lose kinetic energy through collisions with He and are rejected by retarding potential; He flow optimized to suppress interferences while maintaining REE ion transmission; oxide production monitored by ThO⁺/Th⁺ <1%,"Medium mass resolution (M/ΔM ≈ 4000) separates many polyatomic interferences from analyte peaks (e.g., resolves ⁵⁴Fe⁺ from ⁵⁴Cr⁺)","Exclusion-based approach: analyses with elevated Mg, Si, P, S (from silicate, phosphate, or sulfide inclusions) excluded entirely rather than applying mathematical corrections",Isotope selection minimizes interferences; low-abundance isotopes of Fe and Ni chosen for analog mode to prevent detector saturation,Same isotope selection as spot protocol,Sequential interference correction: (a) doubly charged Er and Yb corrections on Sr masses using measured 167Er²⁺ and 173Yb²⁺ signals and natural isotope ratios; (b) 87Rb isobaric correction on 87Sr using measured 85Rb signal and user-specified 87Rb/85Rb calculated from exponential law for mass bias,"Flux blank subtraction: blank contribution to each pollution element (V, Co, Zn, Ba, La, Ce, Ta, U) measured in procedure blanks and subtracted; LOQ for pollution elements = blank value + 10SD",N,N
Memory Effect Mitigation,"Protocol applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses, or from incomplete aerosol washout between adjacent pixels in raster mapping mode. For mapping, the mitigation strategy involves controlling scan speed relative to washout time to ensure each pixel signal is sufficiently free of the preceding pixel's contribution.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",,,Y,Y,Y,,N (washout time between analyses not stated; sequential raster scans),Gas blank measured before each ablation line; adequate washout ensured by duty cycle timing,Washout time: 11 s between runs (runs include 400 µm line + blank + washout),10 s washout time after 20 s spot ablation (specified in acquisition protocol),Low-dispersion tube-type cell + ARIS provides very short aerosol pulse response (<1 ms at 1% baseline); delay between laser trigger and aerosol arrival tuned daily; effectively eliminates inter-pixel memory in mapping,Washout time approximately 3 s (defined as time for REE signal to decrease by two orders of magnitude after ablation of NIST SRM 612); scan speed (2 µm s⁻¹) ensures laser moves only 6 µm during washout — less than 10 µm spot diameter,N (parameters lost),N (single spot analyses; no sequential memory effect described),N (washout between analyses not explicitly described; sequential spot analyses),N (mapping; ARIS-equivalent not described; single mapping session),N (no memory effect mitigation described; line scan mode with no return to same location),25 s washout between analyses (25 s gas blank → 45 s ablation → 25 s washout),N,N
Normalization / Standards-Based Correction,"Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials, or stoichiometric normalization applied per pixel in mapping. Distinct from the primary internal standard approach captured in Internal Standard Approach.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",,,Y,Y,Y,,External calibration with iron meteorite and NIST SRM 1263a V-Cr steel standards; no post-acquisition normalization described,100% oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) applied per pixel after IS-normalized external calibration (equations 3–4 in Appendix C1) to fix final mass balance,Run 1: 100% oxide sum normalization; Run 2: Cr IS from Run 1 applied; no further post-acquisition normalization,100% oxide sum normalization to 100 wt% for phosphate minerals (Appendix C3),100% oxide sum normalization of all detected element oxides to 100% after multi-point external calibration,100% oxide sum normalization (7 MEs + Cl) after external calibration; per-pixel normalization accounts for varying mineral stoichiometry across the FG,"No post-acquisition normalization; BCR-2g, BHVO-2g, BIR-1g used for calibration; Marjalahti as in-session control",No post-acquisition normalization; calibration curve method using IVB standards provides direct quantification,Fe+Ni+Co=100% sum normalization applied in iolite 3D Trace Elements DRS as final step; yield correction factors applied for NIST SRM 612 relative to North Chile,Fe+Ni+Co=100% normalization (mandatory for multi-phase mapping); same iolite DRS as spot,⁸⁸Sr/⁸⁶Sr = 8.37520933 used for Sr isotope mass fractionation correction (exponential law); ⁸⁷Rb/⁸⁵Rb = 0.385706 and ⁸⁶Sr/⁸⁸Sr = 0.119351 for ⁸⁷Rb/⁸⁶Sr calculation; external calibration factor from reference glasses applied to correct Rb/Sr elemental fractionation,No post-acquisition normalization beyond IS approach (two IS elements applied element-specifically),No post-acquisition normalization beyond IS (Si from EMP),No post-acquisition normalization beyond IS (Fe from EMP)
,,,,,,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Calibration Standard Name,"Primary reference material(s) used to calibrate the instrument and convert raw signal intensities to concentrations or isotope ratios. Include material name, source institution, and citation for the accepted values used. Editable because the specific lot or certification vintage may differ between sessions while the material type remains the same.",Basic,Editable,Text (free),"e.g., 'NIST SRM 612 (Jochum et al. 2011, doi:10.1111/j.1751-908X.2011.00120.x)' | 'USGS BCR-2G (GeoReM preferred values, georem.mpch-mainz.gwdg.de)'",,,Y,Y,Y,,North Chile Filomena (IIAB iron meteorite; Wasson et al. 1989) for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba (IVB; Walker et al. 2008) for Ru/Rh/Pd/Re/Os/Ir/Pt; NIST SRM 1263a V-Cr steel (Campbell & Humayun 2005) for V/Cr/Fe/Co/Ni/Cu/As/Mo/W/Au,"Multiple glass GRMs used together for linear regression external calibration: NIST SRM 612, NIST SRM 614, USGS GSD-1G (synthetic), USGS GSE-1G (synthetic), USGS BHVO-2G, USGS BIR-1G (natural basalt glasses)","Same glass GRM set as mapping for Run 1; expanded set additionally includes MPI-DING KL2-G, ML3B-G, StHs6/80-G, T1-G, ATHO-G, BM90/21-G, GOR128-G, GOR132-G for Run 2 trace elements",MPI-DING and USGS glass GRMs (measured at beginning and repeatedly at end of each session; multipoint calibration),"Multiple natural rock glass GRMs: USGS GSE-1G, GSD-1G (synthetic basaltic), BIR-1G, BHVO-2G, BCR-2G (basaltic), NKT-1G (nephelinitic); MPI-DING GOR128-G, GOR132-G (komatiitic), ML3B-G, KL2-G (basaltic), ATHO-G (rhyolitic), StHs6/80-G (andesitic), T1-G (dioritic). Note: GSE-1G and GSD-1G not used for trace element calibration due to anomalous concentrations","NIST SRM 612 (glass, REE reference; Jochum et al. 2011); natural minerals as ME references: augite (Morogoro, Tanzania, Nichika Inc.) for Mg, Al, Fe; olivine (Horoman, Hokkaido) for Mg, Si, Fe; Cl-apatite (Chichibu, Saitama) for Cl; titanite (Mt Dromedary Complex) for Ca, Ti","USGS standard glasses BCR-2g, BHVO-2g, and BIR-1g; preferred values from GeoReM website",Warburton Range (IVB iron meteorite; Walker et al. 2008) — used as primary external standard and for calibration curve method,NIST SRM 612 glass (Jochum et al. 2011) + North Chile Filomena iron meteorite (Wasson et al. 1989) — used together with yield correction in iolite 3D DRS,NIST SRM 612 (Jochum et al. 2011) + North Chile Filomena — same as spot protocol,"NIST 610 for instrument parameter optimization; series of reference glasses (NIST 612, BHVO-2G, BCR-2G, NKT-1G, TB-1G, ATHO-G, KL2-G, ML3B-G, StHs6/80-G, T1-G) for external calibration of ⁸⁷Rb/⁸⁶Sr ratio; natural clinopyroxenes (NHB-9, YY12-01) and anorthite (YG4301) as unknown samples for ⁸⁷Sr/⁸⁶Sr data quality evaluation",NIST SRM 612 + NIST SRM 614 (non-matrix-matched external standards); self-made BHVO-2 lithium borate glass (matrix-matched) tested as alternative but NIST 612+614 found sufficient with fs laser,NIST 610 (primary external standard; Jochum et al. 2011); Si from EMP as IS,NIST 610 (primary external standard); Fe from EMP as IS
Secondary Reference Materials,"Quality-control reference materials analysed as unknowns alongside samples in the same session to assess accuracy and monitor drift. Include material name, source, and citation for accepted values used for comparison. Editable because selection of secondary RMs may vary across sessions.",Basic,Editable,Text (free),"e.g., 'NIST SRM 610 (Jochum et al. 2011); GOR132-G (Jochum et al. 2006)' | 'BHVO-2G (GeoReM), BCR-2G (GeoReM)'",,,Y,Y,Y,,"Two natural clinopyroxenes (NHB-9, YY12-01) and one natural anorthite (YG4301) — see Chernonozhkin 2021 Chem. Geol. 562 (not present in this paper; standards used for Fe/Ru/etc. calibration)","MPI-DING glasses: GOR132-G, StHs6/80-G, T1-G; USGS: BCR-2G, BHVO-2G — measured as unknowns alongside samples and compared to GeoReM preferred values (Table 1 and Section 3.3)",Same GRM set measured as unknowns for accuracy assessment,Same MPI-DING and USGS glasses measured as unknowns for accuracy assessment,BHVO-2G and StHs6/80-G — selected as QC materials processed as secondary unknowns in every analytical session (measured in 8 and 6 sessions respectively over 1 year),BHVO-2G processed as unknown for accuracy assessment (Table 2),"BCR-2G, BHVO-2G, BIR-1G processed as unknowns alongside samples (same standards as calibration — in-session validation)",Tawallah Valley (IVB iron meteorite; Walker et al. 2008) — measured as secondary/check standard alongside unknowns,North Chile Filomena measured as unknown on different days over 4 months to assess intermediate precision (Table 3 and Fig. 2),North Chile and NIST SRM 612 measured before and after mapping session as QC materials,Natural clinopyroxenes NHB-9 and YY12-01 (reference values given in Table 2); anorthite YG4301 — measured as unknowns for 87Sr/86Sr data quality evaluation,"AC-E (granite, CRPG), GSR-1 (granite, NRCG), JB-1b (basalt, GSJ), GSR-3 (basalt, NRCG), AGV-2 (andesite, USGS), W-2A (diabase, USGS) — 6 GRMs covering mafic to felsic rock types analyzed as unknowns; also NWA14526 (lunar basalt) and NWA13190 (shergottite) compared with SN-ICP-MS",NIST SRM 612 and BCR-2G (monitoring standards measured in same sessions),NIST SRM 612 and BCR-2G (same monitoring standard set as glass protocol)
Detection Limit,"Session detection limit for each measured isotope, expressed in µg g⁻¹, ng g⁻¹, or wt% as appropriate. Report the value(s) and units per isotope or element group. Mandatory at analysis level to demonstrate the reliability of reported near-detection-limit concentrations. The calculation method is captured separately in Detection Limit Method.",Advanced,Basic,Numeric (ppm or wt%),"e.g., '0.003 ng g⁻¹ (La), 0.005 ng g⁻¹ (Ce) (3σ background; Longerich et al. 1996)' | 'Range: 0.005–23.5 µg g⁻¹ across all measured isotopes (Pettke et al. 2012)'",,Analyte specific,Y,Y,Y,,LODs not formally reported; all concentrations above detection limits except noted (Cr in some irons below LOD),"LODs reported in Table E1 (Appendix E) for 2D mapping: average of all individual pixel LODs (Na=1, Nb=10 per Longerich et al. 1996)","LODs reported in Table 1 for line scan + spot trace elements: Na=24, Nb=5 per Longerich et al. 1996; LOQ = 10SD criterion",N (LODs not separately reported for phosphate analyses),LODs range 0.1–10 µg g⁻¹ for most elements using 5×5 µm spot; down to 10 ng g⁻¹ for some trace elements (REEs). Reported for areas 0.004–0.05 mm²; LODs calculated per Pettke et al. (2012),20–50% uncertainty for individual REE data points; Lu measured down to ~10 ng g⁻¹ (0.4× CI-normalized); LODs not explicitly tabulated but implied by REE abundance levels achieved,N (LODs not stated; concentrations reported for all nuclides above background),N (LODs not formally stated),"LODs in µg g⁻¹ (median from Table 3): As 2, Au 0.1, Co 2, Cr 19, Cu 0.8, Fe 5300, Ga 0.1, Ge 0.2, Ir 0.04, Ni 60, Os 0.09, Pd 0.06, Pt 0.4, Re 0.02, Rh 0.05, Ru 0.3, W 0.09; calculated per Longerich et al. (1996) in iolite 4",N (LODs not separately reported for mapping),N (LODs not applicable to isotope ratio measurements; precision and accuracy of 87Sr/86Sr and 87Rb/86Sr assessed instead),LODs for 32 elements in Li-borate glass BHVO-2: 0.005–23.5 µg g⁻¹ (dilution-limited; much higher than undiluted glass LODs); LODs for NIST 610: 0.007–0.45 µg g⁻¹; LOQ = 3.3 × LOD (Pettke 2012) for most elements; LOQ for pollution elements = blank + 10SD (Gold Book IUPAC),Detection limits for Au ~0.01 ppm; Cu ~0.1 ppm in silicate melt (stated in paper),Same LODs as silicate glass protocol for Au and Cu
Detection Limit Method,Reference or description of the method used to calculate session detection limits. Mandatory at analysis level. Must be consistent with the method applied to generate the Detection Limit values reported above.,Advanced,Basic,Text / URI,"e.g., '3σ of background ion counts per Longerich et al. (1996), doi:10.1039/ja9961100899' | 'Sample-individual LOD per Pettke et al. (2012), doi:10.1016/j.oregeorev.2011.11.001'",,,Y,Y,Y,,N (not formally stated),Longerich et al. (1996): LOD = (3SD/S) × √(1/Nb + 1/Na),Longerich et al. (1996); LOQ = 10SD criterion (same equation),N (not formally stated),Pettke et al. (2012): LOD = (3.29 × √(Rbkg × DT × (Nan + Nan²/Nbkg)) + 2.71) / (Nan × DT × S),N (counting statistics implied; exact LOD formula not stated),N,N,Longerich et al. (1996) — implemented in iolite 4; sample-individual LOD calculated per analysis,N (LODs not separately reported for mapping),N (not applicable; isotope ratio measurements),Pettke (2012) for most elements: LOD = (3.29 × √(Rbkg × DT × ...) + 2.71) / (Nan × DT × S); LOQ for pollution elements = blank value + 10SD (IUPAC Gold Book),"N (stated as ""detection limits"" without specific formula)",N
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported. Concentrations between LOD and LOQ are detectable but not reliably quantifiable.,Advanced,Basic,Text / URI,"e.g., 'LOQ = 10 × SD of background counts (10σ criterion)' | 'LOQ = 3.3 × LOD per IUPAC Gold Book' | 'LOQ = blank value + 10 SD for pollution elements (V, Ba, U)'",,,Y,Y,Y,,N,N,LOQ = 10SD of background counts (10σ criterion; Chernonozhkin et al. 2021),N,N,N,N,N,N,N,N,"LOQ = 3.3 × LOD per Pettke (2012) for most elements; LOQ = blank value + 10SD per IUPAC Gold Book for pollution elements (V, Co, Zn, Ba, La, Ce, Ta, U) where blank contribution is significant",N,N
Within-Session Analytical Precision and Assessment Method,"Reproducibility of repeated measurements within a single analytical session. Report both the assessment method and the precision values. Assessment method must specify: (1) the reference material used, (2) number of replicates n, and (3) the statistic reported (1σ RSD, 2σ RSD, etc.). For mapping: assess from repeated analyses of a reference material area at session start and end, or from replicate analyses of a homogeneous reference phase within the map.",Advanced,Basic,Text (free),"e.g., '1σ RSD = 1.5% for Ba, 2.3% for La (n=5 on NIST SRM 612 per session)' | 'Mapping: 4% 1σ RSD across 3 GRM map areas at session start and end (n=3)'",,Analyte specific,Y,Y,Y,,N (within-session precision not formally assessed; standard deviation across raster scans reported per element),Intermediate precision for mapping: most elements at ≥10 µg g⁻¹: 5–15% RSD; elements <10 µg g⁻¹: 5–30% RSD; assessed from repeated GRM mapping in 8 sessions over 1 year (n=8 for each element),"LOD calculated per analysis (Na=24, Nb=5); precision not formally reported as separate metric",N (precision not formally reported for phosphate analyses),"Intermediate precision: 5–15% RSD for elements ≥10 µg g⁻¹; 5–30% RSD for elements <10 µg g⁻¹ (assessed from repeated GRM mapping over 1 year, n=8)",20–50% uncertainty for individual REE data points (dominated by counting statistics near LOD; grain areas 40×40 µm² represent averaging of ≥10 pixels),N (within-session precision not formally assessed),Analytical uncertainties: 2SE of individual spot measurements reported alongside data,"RSD <15% for most elements in Arraias meteorite under repeatability conditions (n=20 spot analyses); Cr: 20%, Ir: 16%, Os: 20% RSD; assessed by repeated analysis of same meteorite in one session",N (within-session precision for mapping not separately assessed),Standard error (USE = SE at 95% confidence) for 87Sr/86Sr and 87Rb/86Sr per individual run; dependent on signal intensity (regression shown in Fig. 3); relative errors for 87Rb/86Sr: ±3% for most reference glasses; 87Sr/86Sr relative errors: <0.2‰ for materials with 87Rb/86Sr <1,Analytical precision (RSD) within 10% for most of 32 trace elements in 6 silicate GRMs (verified by homogeneity index assessment across 9 spots per disk),N (within-session precision not separately reported),N
