Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,SE Imaging,BSE Imaging,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,CL Point Analysis,CL Mapping,EBSD,TEM Sample Preparation,3D Tomography,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
Ion Milling Conditions (3D Tomography),Ion beam voltage and current used to mill each slice during FIB-SEM serial sectioning.,Basic,Editable,Text (free),"e.g., 'Ga+ 30 kV, 2.5 nA (slice milling)'",,2026-08-27,(none),These parameters determine material removal rate per slice and exposed surface quality.,N,N,N,N,N,N,N,N,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slice Thickness,Thickness of each FIB-milled slice during serial sectioning in nanometres.,Basic,Editable,Numeric (nm),"e.g., 10 | 20 | 50 | 100",,2026-08-27,(none),Controls the Z-axis resolution of the 3D reconstruction.,N,N,N,N,N,N,N,N,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15 nm (single layer scanning thickness = 9.0 µm total / 600 slices),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Voxel Size and Image Stack Dimensions,"X, Y, Z dimensions of the reconstructed 3D voxel in nanometres (X-Y pixel size from SEM image calibration; Z from slice thickness), and the total number of slices in the stack.",N/A,Basic,Text (free),"e.g., '14.6 x 8.3 x 10.0 nm, 600 slices' | '14.8 x 14.8 x 20 nm, 800 slices'",,2026-08-27,(none),,N,N,N,N,N,N,N,N,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8 × 9.8 × 15 nm voxel size; 600 slices; 7.8 × 7.8 µm scanning area; 9.0 µm total thickness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.8×14.8 nm pixel size (XY); ~800 total slices; sub-volumes: SC=5.609×3.08×5.446 µm; HBC=4.679×3.2×4.24 µm; SEM image resolution 2.5 nm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Matrix Correction Method,"X-ray matrix correction algorithm applied during quantitative EDS or WDS data reduction. For X-ray mapping, applies when raw count maps are converted to quantitative concentration maps.",Basic,Read-Only,Controlled list,XPP (Simplified PAP) | PAP (Pouchou & Pichoir Full) | ZAF | CITZAF (Armstrong 1995) | Phi-rho-z (EPQ-91) | Other: specify | Unknown | N/A | None,,2026-08-12,(none),,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,XPP (Simplified PAP),N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Mass Absorption Coefficients (MACs),Database of mass absorption coefficients used in the matrix correction.,Basic,Read-Only,Controlled list,LINEMU | CITZMU | MCMASTER | MAC30 | MACJTA | FFAST | Other: specify | Unknown | N/A | None,,2026-08-27,(none),"MAC database choice affects accuracy particularly for light elements (B, C, N, O, F, Na).",N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Background Correction Method,Method used to estimate and subtract background X-ray intensity beneath the peak. For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model. For EDS: spectral background fitting or top-hat filter applied during spectral processing.,Basic,Editable,Controlled list,2-point off-peak linear | 2-point off-peak exponential | Mean Atomic Number (MAN) | EDS background fit | Top-hat filter | Other: specify | N/A | None,,2026-08-12,(none),,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Time-Dependent Intensity Correction,"Type of time-dependent intensity (TDI) correction applied to compensate for beam-induced volatilisation or migration of sensitive elements (e.g., Na, K, F in glasses, feldspars, carbonates).",Advanced,Editable,Controlled list,None | Linear | Exponential | Double exponential | Other: specify | Unknown | N/A,,2026-08-27,analyte,Most commonly applied in WDS point analysis; uncommon for EDS or X-ray mapping.,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analyte Estimation Method,"Whether elemental concentrations were calculated directly from measured X-ray intensities, or estimated by cation stoichiometry (e.g., oxygen calculated from cation proportions in silicates; carbon from stoichiometry in carbonates).",Advanced,Read-Only,Controlled list,Direct (measured) | Stoichiometry from cations | By difference | Other: specify | Unknown | N/A | None,,2026-08-11,analyte,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,Virtual standards preloaded within Oxford INCA Energy software,Virtual standards preloaded within Oxford INCA Energy software,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Halogen Correction on Oxygen,"Whether oxygen content was adjusted to account for halogen substitution (F and/or Cl replacing OH) in halogen-bearing phases such as apatite, amphibole, and mica, where oxygen is calculated by stoichiometry.",Advanced,Editable,Boolean,Yes | No | N/A,,2026-08-11,(none),,N,N,Y,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDS Spectral Processing Type,"Method used to process EDS spectra and extract net peak intensities from raw spectral data. Applied before quantification (see Matrix Correction Method). Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.",Advanced,Read-Only,Controlled list,Background fitting | Peak deconvolution | Top-hat filter | Gaussian fit | Filter fit | Other: specify | Unknown | N/A | None,,2026-08-12,(none),,N,N,Y,Y,N,N,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,Semi-quantitative analysis with virtual standards (Oxford INCA Energy); mineral phase determination from atomic % of constituent elements,Semi-quantitative analysis with virtual standards (Oxford INCA Energy); mineral phase determination from atomic % of constituent elements,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Blank Correction,"Method and reference material(s) used to determine and subtract blank signal contributions (e.g., carbon coat contribution to C signal, or background contamination for trace elements).",Advanced,Editable,Text (free),"e.g., 'Blank C signal subtracted using carbon-coated polished glass reference' | 'None'",,2026-08-11,analyte,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",Advanced,Editable,Text (free),"e.g., 'Normalization to accepted values of Kakanui kaersutite run as secondary standard' | 'None'",Source: Composition QC module,2026-08-27,reported property,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
WDS Dead Time Correction,Method used to correct for WDS proportional counter dead time at high count rates. Unlike EDS dead time — which is hardware-managed and reported as a session QC percentage (see EDS Dead Time) — WDS dead time correction is a user-selectable algorithm in the data reduction software. No separate measured WDS dead time value is reported; the correction is applied transparently during intensity-to-concentration conversion.,Basic,Read-Only,Controlled list,Default constant (manufacturer) | Adjusted constant | High-precision (Probe for EPMA) | Logarithmic | Other: specify | Unknown | N/A | None,,2026-08-27,(none),"Dead time errors are most significant for major elements with high count rates (e.g., Si, Fe, Ca).",N,N,N,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Indexing Method,Algorithm used to index EBSD diffraction patterns and assign crystal orientations. Hough-transform methods fit Kikuchi band positions analytically; dictionary indexing (DI) matches experimental patterns to a pre-computed library of simulated patterns.,Basic,Read-Only,Controlled list,Hough transform | Dictionary indexing (DI) | Neural network | Other: specify | Unknown | N/A | None,,2026-08-11,(none),,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crystal Structure Database,Crystal structure database used for EBSD phase identification and Kikuchi pattern simulation.,Basic,Editable,Text (free),"e.g., 'ICSD (Inorganic Crystal Structure Database)' | 'COD (Crystallography Open Database)' | 'Oxford AZtec Crystal built-in library'",,2026-08-11,(none),,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,ICSD (Inorganic Crystal Structure Database),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Literature crystal structures: Black et al. 1961 (Cmc21 (Al,Cu)Fe6 for kryachkoite); Zhang et al. 2005 (Pm3m AlCu for stolperite)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Pattern Quality Threshold,Minimum pattern quality or confidence index threshold applied during EBSD data processing to exclude unreliably indexed points from orientation maps. Include metric name and threshold value.,Advanced,Editable,Text (free),"e.g., 'Mean Angular Deviation (MAD) < 1.0 deg' | 'Confidence Index (CI) > 0.1' | 'Band contrast > 80'",,2026-08-11,(none),,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3D Image Registration,"Method used to align consecutive SEM image slices in the 3D stack to correct for drift, vibration, and curtaining artifacts. Include software used.",Basic,Editable,Text (free),"e.g., 'Cross-correlation (FIJI/ImageJ)' | 'Fiducial marker alignment' | 'Auto Slice and View G3 built-in drift correction' | 'Avizo drift correction'",,2026-08-11,(none),,N,N,N,N,N,N,N,N,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fiji/ImageJ StackReg and TurboReg plugins used for slice realignment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Segmentation Method,"Method and software used to separate distinct phases or features in the reconstructed 3D volume, turning the grayscale volume into labelled regions.",Basic,Editable,Controlled list / Text,Global threshold (single grayscale boundary) | Multi-threshold (separate range per phase) | Manual threshold per phase | Semi-automated: threshold + morphological filtering | Region growing | Manual tracing | Machine learning (specify model) | N/A | None,,2026-08-26,(none),The method must be reported for any quantitative result to be reproducible.,N,N,N,N,N,N,N,N,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Image denoising, binarization, and segmentation; 3D model established using Avizo 7 and Multiple-point geostatistics",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Semi-automatic porosity segmentation by grayscale thresholding; pore volume reconstruction using FEI Avizo Fire 8.1.1; connected component analysis for pore network extraction (PNE),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-25,reported property,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),,Source: Blank module,2026-08-25,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-25,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Primary Calibration Standard Name,"Name(s) of the primary reference material(s) used for intensity calibration in EDS or WDS quantification. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),"e.g., 'Smithsonian anorthite (Si, Al, Ca)' | 'Synthetic fayalite (Fe)' | 'Pure element standards (Cu, Al foil)' | 'Alloy standards (Micro-Analysis Consultants)'",,2026-08-11,analyte,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,Oxford factory internal standards,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Secondary Reference Materials,"Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.",Basic,Editable,Text (free),"e.g., 'USNM San Carlos olivine (Mg, Fe, Si; n=5; within 2% of GeoReM)' | 'Kakanui kaersutite (multiple elements)'",Source: Composition QC module,2026-08-27,defines: standard,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Interference Corrections Applied,"Whether a spectral interference correction was applied. Common interferences include Ti Kb on V Ka, Cr Kb on Mn Ka, and Ba La on Ti Ka.",Basic,Read-Only,Boolean,Yes | No | N/A,,2026-08-27,analyte,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Interfering Elements,"Element(s) whose X-ray lines overlap with the measured peak, requiring a correction.",Advanced,Read-Only,Text (free),"e.g., 'Ti Kb overlaps V Ka' | 'Cr Kb overlaps Mn Ka' | 'S Ka overlaps Mo La'",,2026-08-27,analyte,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Interference Correction Standard,Reference material used to quantify and calibrate the interference correction.,Advanced,Read-Only,Text (free),"e.g., 'Synthetic TiO2 (for Ti Kb on V correction)' | 'Chromite USNM 117075 (for Cr Kb on Mn correction)'",,2026-08-27,analyte,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Detection Limit,"Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",Advanced,Basic,Numeric + unit / Text,"e.g., 'SiO2: 0.04 wt% (3-sigma counting statistics)' | 'Na2O: 0.03 wt%' | 'FeO: 0.05 wt%'",Source: Composition QC module,2026-08-27,reported property,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,~0.5 wt% for most elements,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Detection Limit Method,"Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,Source: Composition QC module,2026-08-27,reported property,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analytical Precision,"Reproducibility of repeated measurements on the same or equivalent reference material, expressed as 1-sigma relative standard deviation (%). Include reference material name, number of analyses (n), and the measured value.",Advanced,Basic,Text (free),"e.g., 'SiO2: 0.8% 1-sigma RSD (n=10, San Carlos olivine)' | 'FeO: 1.5%'",,2026-08-27,standard x reported property,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analytical Accuracy,"Offset between measured and accepted reference values for secondary standards, expressed as percent relative bias. Include reference material, reference value source, and the measured value.",Advanced,Basic,Text (free),"e.g., 'SiO2: +0.5% relative to GeoReM accepted value (San Carlos olivine)' | 'FeO: -1.2%'",,2026-08-27,standard x reported property,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",Advanced,Basic,Text (free),"e.g., 'SiO2: +-0.04 wt% (1-sigma)' | 'Na2O: +-0.03 wt% (1-sigma)'",Source: Composition QC module,2026-08-27,sample > sampling unit x reported property,,N,N,Y,Y,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
EDS Dead Time,"Percent dead time reported by the EDS detector during the session — the fraction of total acquisition time the detector spent processing rather than counting. This field documents the resulting percentage as a session QC metric. Unlike WDS dead time (see WDS Dead Time Correction), no user-selectable correction algorithm is required.",N/A,Basic,Numeric (%),"e.g., 10 | 25 | <40",,2026-08-27,(none),Values above ~40% indicate excessive count rate and may degrade spectral quality and quantitative accuracy. EDS dead time correction is managed automatically by the detector electronics.,N,N,Y,Y,N,N,N,N,N,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
EBSD Mean Angular Deviation,Mean angular deviation (MAD) of the EBSD pattern indexing solution in degrees. MAD quantifies the misfit between experimental Kikuchi band positions and the best-fit crystal orientation.,N/A,Basic,Numeric (degrees),"e.g., 0.5 | 0.8 | 1.0",,2026-08-27,(none),Values above ~1.5 degrees typically indicate unreliable indexing.,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.30°~0.45° (all three mineral phases: hollisterite, kryachkoite, stolperite)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
