Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech",Wu+etal2023 | Analyte G2 + iCAP TQ ICP-MS/MS | IGGCAS
Detection Limit,"Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",Advanced,Basic,Numeric + unit / Text,"e.g., '0.003 ng g⁻¹ (La), 0.005 ng g⁻¹ (Ce) (3σ background; Longerich et al. 1996)' | 'Range: 0.005–23.5 µg g⁻¹ across all measured isotopes (Pettke et al. 2012)'",Source: Composition QC module,2026-08-27,reported property,,Y,Y,Y,,N (LODs not formally stated),LODs for 32 elements in Li-borate glass BHVO-2: 0.005–23.5 µg g⁻¹ (dilution-limited; much higher than undiluted glass LODs); LODs for NIST 610: 0.007–0.45 µg g⁻¹; LOQ = 3.3 × LOD (Pettke 2012) for most elements; LOQ for pollution elements = blank + 10SD (Gold Book IUPAC),Detection limits for Au ~0.01 ppm; Cu ~0.1 ppm in silicate melt (stated in paper),"N (detection limits for sulfide not stated; only silicate melt detection limits given as Au ~0.01 ppm, Cu ~0.1 ppm)","Referenced in Table 3 and Table S1; specific values not directly stated in main text; REE in olivines below detection limits at 24–32 µm conditions [P4, P7, P11]","Referenced in Table 3 and Table S1; specific values not directly stated in main text; merrillite REE at 14–414 ppm range above detection [P4, P12]",N
Detection Limit Method,"Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,Source: Composition QC module,2026-08-27,reported property,,Y,Y,Y,,N,Pettke (2012) for most elements: LOD = (3.29 × √(Rbkg × DT × ...) + 2.71) / (Nan × DT × S); LOQ for pollution elements = blank value + 10SD (IUPAC Gold Book),"N (stated as ""detection limits"" without specific formula)",N,N (method not stated) [P4],N (method not stated) [P4],N
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Required when concentrations near the LOD are reported.,Advanced,Basic,Controlled list / Text,10σ blank | 10σ background | 10× LOD | 3.3× LOD | S/N ≥ 10 | N/A | None,Source: ICP-MS module,2026-08-27,reported property,Concentrations between LOD and LOQ are detectable but not reliably quantifiable.,Y,Y,Y,,N,"LOQ = 3.3 × LOD per Pettke (2012) for most elements; LOQ = blank value + 10SD per IUPAC Gold Book for pollution elements (V, Co, Zn, Ba, La, Ce, Ta, U) where blank contribution is significant",N,N,N (not stated) [P4],N (not stated) [P4],N
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately.",Advanced,Basic,Text (free),"e.g., '2SE predicted from counting statistics over 45 cycles' | '~0.6% (1 sigma), counting statistics plus propagated uncertainties' | 'N/A'",Source: Composition QC module,2026-08-27,sample > sampling unit x reported property,"Where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",Y,Y,Y,,N,N,N,N,N,N,N
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",Source: ICP-MS module,2026-08-26,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three.",Y,Y,Y,,N,N,N,N,N,N,Uncertainties (2SE) of single-spot ages were ~2.6%
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),"e.g., '1σ RSD = 1.5% for Ba, 2.3% for La (n=5 on NIST SRM 612 per session)' | 'Mapping: 4% 1σ RSD across 3 GRM map areas at session start and end (n=3)'",Source: ICP-MS module,2026-08-26,standard x reported property,,Y,Y,Y,,Analytical uncertainties: 2SE of individual spot measurements reported alongside data,Analytical precision (RSD) within 10% for most of 32 trace elements in 6 silicate GRMs (verified by homogeneity index assessment across 9 spots per disk),N (within-session precision not separately reported),N,N (not stated) [P4],N (not stated) [P4],Precision of common-Hf corrected single-spot ages 1.5-8.1% (xenotime) and 9.2-36.0% (apatite); isochron age uncertainties 3.5-10% for garnet
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),"e.g., '2σ RSD = 3% for Eu/Eu* on GOR132-G across 12 sessions over 8 months' | '1σ RSD = 2% for most REEs on BHVO-2G across 17 sessions over 3 years (n=85 analyses)'",Source: ICP-MS module,2026-08-26,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.,Y,Y,Y,,N,N,N,N,N (not stated) [P4],N (not stated) [P4],N
Analytical Accuracy and Assessment Method,"Offset between measured and accepted values for secondary reference materials, and the method used to assess it. Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed. Report systematic biases and their likely causes. Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities.",Basic,Basic,Text (free),"e.g., 'Within ±5% of GeoReM preferred values for most REEs on GOR132-G (n=15); +8% for Nb (known matrix sensitivity)' | '±3% for all elements on BHVO-2G vs. GeoReM (n=20)'",Source: ICP-MS module,2026-08-26,standard x reported property,,Y,Y,Y,,N (accuracy formally assessed by comparison with internal standard; absolute accuracy not separately reported),Analytical results within 10% of reference values for most of 32 trace elements in 6 GRMs (mafic to felsic); precision (RSD) within 10% for most elements; lunar basalt (NWA14526) and shergottite (NWA13190) results compared with SN-ICP-MS and found reliable,Au and Cu fully dissolved in most glasses (smooth signals); Au results consistent with Au solubility trends from literature; comparison with SN-ICP-MS (solution) for two extraterrestrial samples confirms reliability,"Sulfide Au and Cu concentrations consistent with strong positive correlation with log fS₂ (Fig. 5A) confirming thermodynamic equilibrium; partitioning coefficients Dsulfide/melt consistent with literature (Li et al. 2019, 2021)","For silicates: oxide-sum normalization agrees within <10% with EMP-based IS method (internal cross-check, not a separate QC standard) [P4]",N (no accuracy assessment stated for phosphate protocol) [P4],"Accuracy of common-Hf corrected single-spot xenotime ages generally better than 1.5%, assessed against ID-TIMS U-Pb ages of the same reference materials"
,,,,,,,,,,,,,,,,,,,,
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,Source: Aggregation module,2026-08-26,reported property,Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis.,Y,Y,Y,,,,,,,,"MSWD reported with each aggregate age — e.g. MSWD = 2.3 (n = 236, XN02) and MSWD = 0.6 (n = 15, weighted-mean Lu-Hf age 489.8 +/- 2.2 Ma)"
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-08-26,(none),,Y,Y,Y,,fs laser (260 nm Ti:sapphire) essential for HSE measurement in metal (reduces elemental fractionation and matrix effects); IVB iron meteorite standards (Warburton Range + Tawallah Valley) as matrix-matched standards for iron meteorite metal,Target: bulk trace element analysis of extraterrestrial samples using only 10 mg; Li-borate flux fusion (35:1 dilution) with fs laser — first reported use of fs laser for flux fusion glass analysis; non-matrix-matched external standards demonstrated accurate with fs laser,Analysis of quenched experimental glasses from high-pressure (1 GPa) piston-cylinder experiments; Au and Cu solubility measurements; smooth time-resolved signals indicate fully dissolved Au (no micronuggets),Analysis of quenched experimental pyrrhotite (Fe₁₋ₓS) from same piston-cylinder experiments; 20 µm spot required due to small grain size (5–50 µm); same instrument and analytical session as glass protocol,Paper broadly follows Udry et al. (2012) and Pernet-Fisher et al. (2014) for procedure; two IS approaches used for different mineral phases (oxide-sum for silicates; EMP CaO for phosphate); 90 µm spot used on some olivines to evaluate whether low REE signals result from insufficient sampling volume [P4],N/A — see silicate column for general notes [P4],N
