Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Budde+etal2016 | Neptune Plus | IfP Münster,Craddock+etal2008 | Thermo NEPTUNE | WHOI,Hopp+etal2021 | Neptune (Plus spec) | Univ Chicago,Hu+etal2022 | Neptune Plus | Univ Chicago,IbanezMejia+Tissot2020 | Nu Plasma II | MIT,Nie+Dauphas2019 | Neptune | Univ Chicago,Nowell+etal2008 | Neptune | Durham AHIGL,Nowell+etal2008 | Nu Plasma | NIGL,Pringle+Moynier2017 | Neptune Plus | IPGP,Schönbächler+etal2025 | Neptune Plus | ETH Zurich,vanKooten+etal2026 | Thermo Neoma | Univ Copenhagen,Broussard+etal2026 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | ETH Zurich
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.",Basic,Read-Only,Text (free),Double-spike inversion (isotope ratios and concentrations co-determined) | IUPAC isotope dilution equations (concentration from separate ID spike) | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,"Double-spike inversion, Rmeas = [p·RSpike + (1−p)·RStd·(Mx/Mn)^α]·(Mx/Mi)^β, solved by weighted minimisation over four ratios",N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied,N/A — no isotope dilution applied
Memory Effect Mitigation,"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.",Advanced,Editable,Text (free),Extended acid rinse between samples; first measurement excluded if preceded by high-signal sample | Blank measurement inspected before each sample; session halted if blank > 0.5% of sample signal | None required for this analyte suite | N/A | None,Source: ICP-MS module,2026-08-26,(none),,,N,Wash-out 2 min for solution,210 s washout between all measurements,N,"On-peak-zero acid blank before each sample ""to account for blank contribution as well as any 'memory' effects from the Aridus II sample introduction system during the run""",60 s wash in 0.45 M HNO3,"Desolvating nebulisers deliberately avoided because of ""severe memory problems for Os""; ESI PFA-50 low-uptake nebuliser and GE Cinnabar micro-cyclonic spray chamber chosen ""in the hope these would reduce the long Os washout times and poor memory usually associated with solution introduction of Os""; wash acid aspirated until the 192Os beam fell to background — a 99.99% decrease reached after 220 s for DTM",TD 3 mol/l HCl aspirated between analyses until the Os beam decreased to acceptable background levels,N,N,N,N,N,N
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,Source: ICP-MS module,2026-08-26,(none),A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.,,"2 s.d. for external reproducibility (n = 24 for Mo, n = 14 for Ba)","""external reproducibility is reported at the 2σ error level""; long-term reproducibility ""typically 0.20‰ and 0.45‰ (2σ) for solution and laser""",N,Not stated in the section read,"""the external reproducibility (at 2σ) of the spiked ZrNIST measurements from each run, which in all cases was similar in magnitude or slightly larger than the internal uncertainty determined from counting statistics""",N,"2SD for short- and long-term reproducibility; within-run errors as ""2 standard errors of the mean (2SE = 2SD/n^0.5; where n = 45 for the Neptune analyses""","2SD and 2SE, with n = 50 for the Nu Plasma analyses","""the 2 standard error (2se) is reported unless stated otherwise""; for samples analysed fewer than 3 times, ""the largest 2 se reported for a sample analyzed multiple times has been used""","Both quoted: ""external precision expressed as 2 standard deviations (2SD)"" and 2SE per analysis","""the mean and 2 x standard error (SE) of ten individual standard-bracketed sample analyses""",Stated as ± values on δ41K without an explicit convention in the section read,2 s.d.,2 s.d.
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),2σ of bracketing standard reproducibility propagated to sample | Monte Carlo simulation through double-spike inversion | ISO GUM quadrature propagation | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,reported property,,,N,N,N,N,"External reproducibility of the spiked ZrNIST measurements from each run adopted per determination, compared against internal counting-statistics uncertainty",N,N,N,"""Errors are determined from repeated measurements""",N,N,N,N,N
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",Advanced,Editable,Text (free),Spike isotope decay correction applied | Age correction for U-series disequilibrium | None | N/A | Other: specify,Source: Composition QC module,2026-08-27,reported property,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-26,reported property,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),,Source: Blank module,2026-08-26,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,,"""Total procedural blanks were between 0.7 and 1.2 ng and thus negligible, given that several hundred ng of Mo were analyzed for each sample""","""The procedural blank, resulting from chemical processing and purification is ~0.05% (~0.25 µg per 500 µg S used for column chemistry)""","""the total procedural blank is ~70 ng and thus negligible considering that 1-2 mg Fe was purified for each sample""",N,"""The total mass of non-radiogenic Pb measured in our FC-1 zircon and baddeleyite fractions is indistinguishable from the range of Pb determined in total procedural blanks""","""The Rb blank of the procedure (digestion and column chemistry) is ~0.14 ng, which accounts for less than 0.5% of total Rb from a typical sample (40 ng)""",N,N,N,"""Total procedural blanks prepared together with Tarda and Tagish Lake contained 0.08 and 0.24 ng Zr, while total blanks treated alongside Ivuna were 0.09 and 0.13 ng Zr""",N,N,N,"""The total procedural blank for Ti was 3.7 ng, resulting in a maximum blank contribution of 0.18% for Ti"""
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-26,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",,"Partially — ""For samples analyzed several times, reported values represent the mean of pooled solution replicates"". No acceptance or rejection rule stated",N,N,"Partially — ""On average, LREEs were measured nine times""; replicate matrix cuts were measured but ""are not used, however, for data interpretation to avoid unnecessary influence of stable isotopic fractionation potentially induced by Mo chemistry"" — an explicit exclusion, on chemical rather than statistical grounds","Partially — Table 1 records ""Number of times the same purified Zr solution was measured independently in the MC-ICP-MS"" and ""Reported values are weighted means of all replicate"" analyses. No rejection rule stated",N,Partially — n = 45 per analysis. No rejection rule stated,Partially — n = 50 per analysis. No rejection rule stated,"""any ratio outside 2σ was discarded"" — an explicit rejection rule, applied within a measurement. Reported values are ""averages of repeated measurements of each sample when multiple analyses were possible""",Partially — n stated per reference material (n = 13–99 for terrestrial RMs over 10 months; n = 17–38 for eucrites and Colony; n = 32 and n = 37 for standard sessions). No rejection rule stated,"Partially — ""the mean ... of ten individual standard-bracketed sample analyses""; ""Samples were typically analysed two to four times"". No rejection rule stated","Partially — ""Each sample was measured approximately 20 times"". No rejection rule stated",N,N
Error Correlation Between Reported Quantities,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained. Concordia and isochron regressions cannot be reconstructed without it.",Advanced,Basic,Numeric (dimensionless) / Text,"e.g., 'rho(206Pb/238U, 207Pb/235U) = 0.83, from the data reduction software error propagation' | 'rho = 0.31 (double-spike inversion covariance)'",,2026-08-26,pair: reported property,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-26,(none),,,98Mo/96Mo = 1.453173 for internal normalization; 134Ba/136Ba = 0.3078 (Carlson et al. 2007) for the TIMS half,N,"57Fe/56Fe = 0.023095 and 57Fe/54Fe = 0.362549, ""the certified ratios of IRMM-014"" (Craddock and Dauphas, 2010)",N,"238U/235U = 137.818 (45), 18O/16O = 0.00205 (44), and α = 0.18 ± 0.02%/amu from repeat NBS-981 analyses; U decay constants of (47); Th/U[magma] = 2.8 ± 1.0 for the initial 230Th disequilibrium correction","87Sr/88Sr = 0.085, ""which is the terrestrial Sr ratio"", used for the 87Sr interference correction; sensitivity tested at 0.0835 and 0.0885",N,N,N,"94Zr/90Zr = 0.3381 and 91Zr/90Zr = 0.21798, both Minster & Ricard (1981)",N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,2026-08-26,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the primary reference material(s) against which the instrument is calibrated — converting raw signal intensities to concentrations, or anchoring an isotope ratio as the bracketing standard or zero-delta reference. Give the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),IRMM-014 (Fe isotopes; Taylor et al. 1992) | CRM-112a / SRM-960 (U isotopes) | NIST SRM 981 (Pb isotopes) | JMC Lyon Zn standard | NIST SRM 3102a (Sb) | In-house single-element standard solution: specify | N/A | None | Other: specify,Source: Composition QC module,2026-08-27,analyte,,,Alfa Aesar Mo solution standard,"In-house S_Alfa and S_Spex 20 ppm S solutions, calibrated against IAEA-S-1, S-2, S-4 and NBS-123",IRMM-524a,OL-REE series,ZrNIST,NIST SRM984,"UMd, DTM, LOsST and DROsS Os reference materials",DTM and LOsST,NIST SRM984 RbCl; BCR-2 as an alternative bracketing standard in some sessions,NIST SRM 3169,"IRMM-014, SRM979, DTS-2b",NIST SRM 3141a,"NIST-SRM 3141a, NIST-SRM 976, JMC-Lyon",N
Calibration Standard Measurement Frequency,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",Basic,Read-Only,Text (free),SSB: one standard before and one after every sample | One standard every 3 samples | Start and end of session only | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,"Every sample, spaced by 300 s rinsing","Every sample — ""Each sample measurement was individually bracketed""",N,N,N,"Every sample (bracketing), plus an external pure Rb solution ""during each analytical session""","Each session — ""The Zr standard material NIST SRM 3169 was analyzed in each session""",N,Every sample (bracketing),N,N
Secondary Reference Materials,"Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.",Basic,Editable,Text (free),BHVO-2 (Fe isotopes; Dauphas & Rouxel 2006 compilation) | BCR-2 | NIST SRM 960 or equivalent U standard | NIST SRM 981 (Pb) | AGV-2 | N/A | None | Other: specify,Source: Composition QC module,2026-08-27,defines: standard,,,"BHVO-2, ""several digestions of which were processed through the full analytical protocol and analyzed together with each set of samples""",Sch-M-2 anhydrite mineral standard; geological reference samples with known isotope compositions,BHVO-2 and BCR-2,N,N,"BHVO-2, BCR-2, BE-N, W-2, AGV-2, GSR-1, GS-N, G-A, G-3; DTS-2b and PCC-1 synthetic mixes; Allende",N,N,"BCR-2, AGV-2, BHVO-2, GS-N and other terrestrial rocks","BHVO-2, BCR-2, AGV-1, SCo-1; eucrites Bouvante and Bereba; CO chondrite Colony","BHVO2 and DTS-2b, ""processed alongside the samples""",BHVO-2,BHVO-2,N
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately.",Advanced,Basic,Text (free),"e.g., '2SE predicted from counting statistics over 45 cycles' | '~0.6% (1 sigma), counting statistics plus propagated uncertainties' | 'N/A'",Source: Composition QC module,2026-08-27,sample > sampling unit x reported property,"Where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",,N,N,N,N,"Internal uncertainty determined from counting statistics, used as the comparison against the external reproducibility adopted per determination; value not tabulated",N,N,N,N,N,N,N,N,N
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",Source: ICP-MS module,2026-08-26,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three.",,N,N,N,N,Internal uncertainty determined from counting statistics; stated to be similar in magnitude to or slightly smaller than the external reproducibility adopted per determination,N,"Within-run errors for individual analyses quoted as 2 standard errors of the mean, 2SE = 2SD/n^0.5, with n = 45 cycles","Within-run errors for individual analyses quoted as 2 standard errors of the mean, 2SE = 2SD/n^0.5, with n = 50 cycles",N,N,N,N,N,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),2SD = 0.03‰ on δ56Fe (n=10 BHVO-2); session | 2σ = 0.004‰ on δ238U (n=9 CRM-112a brackets) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,standard x reported property,,,N,N,N,N,"External reproducibility at 2 sigma of the spiked ZrNIST measurements from each run, adopted as the uncertainty on each determination and stated to be similar to or slightly larger than the internal counting-statistics uncertainty",N,"Short-term reproducibility of standards analysed in a single analytical session, quoted as 2 standard deviations (2SD). Distinct from the within-run internal error, which the paper quotes separately as 2SE of the mean, 2SE = 2SD/n^0.5 with n = 45 for the Neptune and n = 50 for the Nu Plasma analyses","Short-term reproducibility of standards analysed in a single analytical session, quoted as 2 standard deviations (2SD). Distinct from the within-run internal error, which the paper quotes separately as 2SE of the mean, 2SE = 2SD/n^0.5 with n = 45 for the Neptune and n = 50 for the Nu Plasma analyses",N,N,N,N,N,N
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),2SD = 0.030‰ on δ56Fe (n=23 sessions; BHVO-1; Dauphas et al. 2009) | 2SD = 0.005‰ on δ238U (n > 50 analyses; CRM-112a) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.,,"External reproducibility from repeated BHVO-2 measurements: ±0.14 for ε97Mo to ±0.39 for ε92Mo (2 s.d., n = 24); Ba ±0.13 for ε135Ba to ±0.31 for ε138Ba (2 s.d., n = 14)","""Long-term reproducibility of S isotope compositions is typically 0.20‰ and 0.45‰ (2σ) for solution and laser""; long-term reproducibility of in-house solution standards within ±0.2‰",N,N,External reproducibility at 2σ of the spiked ZrNIST measurements from each run,N,N,N,"""the long-term reproducibility was ±0.01‰ (n = 40)"" from a pure Rb ICP-MS solution run as an external standard each session","Terrestrial RMs measured over 10 months (n = 13–99) give average 2SD of 0.3, 0.2 and 1.0 for ε91Zr, ε92Zr and ε96Zr; ""The external precision estimated from the geological sample measurements integrates the uncertainty introduced by the chemical separation procedure and mass spectrometry""",N,N,N,N
Analytical Accuracy and Assessment Method,"Offset between measured and accepted values for secondary reference materials, and the method used to assess it. Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed. Report systematic biases and their likely causes. Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities.",Basic,Basic,Text (free),% deviation from published δ56Fe for BHVO-1 compilation value | Agreement with certified δ238U of IRMM-3636 spike solution | Z-score relative to interlaboratory consensus | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,standard x reported property,,,"""The εiMo values obtained for BHVO-2 are indistinguishable from the Alfa Aesar standard, demonstrating that the Mo isotopic data are accurate""",Assessed against IAEA and NBS reference materials on the V-CDT scale and against geological reference samples with known compositions,N,"Assessed in a dedicated ""Assessment of data accuracy"" section, using replicate matrix cuts and a processed geostandard",N,"NIST SRM984 treated as a sample, plus synthetic DTS-2b+SRM984 and PCC-1+SRM984 mixes, ""gave δ87Rb values of zero within error""; geostandards and Allende ""yielded reproducible results that agree with literature data""",N,N,"An aliquot of SRM984 passed through the full chemistry gave δ87Rb = 0.00 ± 0.03‰, ""confirming that no isotope fractionation is caused by the Rb purification procedure""; Allende duplicate splits agreed at 0.12 ± 0.02‰ and 0.14 ± 0.04‰","Terrestrial and meteorite reference materials measured repeatedly to verify data quality; doping tests with Ti, V, Cr, Mo, Hf and W showed ""the observed trace levels have no effect on the accuracy of the Zr isotope data""",BHVO2 and DTS-2b processed alongside the samples,"""The average d41K value for BHVO-2 was −0.448 ± 0.027‰ which is within error of its previously reported values, for example, −0.46 ± 0.09‰ (Wang et al., 2021)""","""To monitor data quality, the geostandard BHVO-2 was analysed alongside all sample analyses""","Reproducibility verified against measurements made ""under conditions similar to the methods used"", quoted as ±0.16 and ±0.26 ε50Ti (2 s.d.)"
Detection Limit,"Detection limit, one per reported concentration variable (one per analyte, these being the same set). State the units and whether the values are procedure-typical estimates or session-specific measured values. The calculation method is recorded separately in Detection Limit Method. Record 'N/A' where the procedure reports no concentrations.",Advanced,Basic,Numeric + unit / Text,,Source: Composition QC module,2026-08-27,reported property,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Detection Limit Method,"Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,Source: Composition QC module,2026-08-27,reported property,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported.,Advanced,Basic,Controlled list / Text,10σ blank | 10σ background | 10× LOD | 3.3× LOD | S/N ≥ 10 | N/A | None,Source: ICP-MS module,2026-08-26,reported property,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,Source: Aggregation module,2026-08-26,reported property,Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis.,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
