Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,TEM Imaging,STEM Imaging,Electron Diffraction,Literature Assessment,Chaves2023 | Synthetic magnetite | TEM+STEM imaging + EDS,Zega2025 | Bennu particles | STEM+EDS+SAED (U of A HF5000),Zega2025 | Bennu particles | STEM+EDS (UCB TitanX),Zega2025 | Bennu particles | TEM+STEM+EDS+SAED (Goethe Talos F200X),Zega2025 | Bennu particles | STEM+EDS+HRTEM+SAED (JSC JEOL 2500SE),Matsumoto2021 | Lunar soil | BF/DF TEM + ADF-STEM + SAED (Jena FEI Tecnai G2 FEG),Matsumoto2021 | Lunar soil | TEM + EDS quantitative (Kyushu JEOL JEM-3200FSK),Matsumoto2021 | Lunar soil | STEM-EDS mapping + HR-STEM (Kyushu JEOL JEM-ARM200F),KellerBerger2014 | Itokawa regolith grains | STEM + EDS spectrum imaging (JSC JEOL 2500SE),Zeng2024 | Chang'e-5 lunar glass bead | HAADF-STEM + EDS mapping (Guangdong FEI Talos F200S),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM + nanodiffraction + EDS (UH Manoa Titan G2),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM-EDS hyperspectral mapping (Mol. Foundry TitanX),Singerling2025 | Bennu OREX-800045-102 | BF-TEM + HAADF-STEM + SAED + EDS (Goethe TS Talos F200X G2),Thompson2020 | Murchison CM2 (laser-irradiated) | BF/DF-STEM + HRTEM + STEM-EDX (JSC JEOL 2500SE),Xing2023 | REVIEW: TEM methods for nanoscale mineralogy in NEPS | No original protocol data,Seifert2026 | Bennu OREX-803173-100 apatite | BF/DF-STEM + EDS (JSC JEOL 2500SE),"Seifert2026 | Bennu OREX-803173-100 apatite | HAADF-STEM + dual EDS + TEM/SAED (K-ALFAA UA Hitachi HF5000, probe Cs-corrected)",Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | BF/EFTEM + SAED + HRTEM (NRL JEOL JEM-2200FS),Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | HAADF-STEM + Dual EELS + EDS (NRL Nion UltraSTEM200-X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | HAADF-STEM + EDS (SINANO CAS FEI Talos F200X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | TEM-EELS (Shanghai Institute of Ceramics CAS Hitachi HF5000)
Phase Identification Method,"Method used to identify crystalline phases from electron diffraction patterns or d-spacings, whether from SAED patterns, spot diffraction, or diffraction data extracted from 4D-STEM datasets.",Basic,Read-Only,Text (free),"e.g., Manual d-spacing comparison to ICDD PDF database | JEMS simulation | CrystalMaker | WinHREM | py4DSTEM ACOM | ESPRIT CRYSTAL | ORIX | N/A | None",,2026-08-31,sample > sampling unit,,Y,Y,Y,,Manual d-spacing comparison: HRTEM lattice fringes; 2.5 Å → magnetite (311); 1.4 Å and 2.0 Å → metallic iron (110) and (200); 2.9 Å / 2.5 Å / 1.6 Å → magnetite (220)/(311)/(511),CRISP software (SAED patterns); Adobe Photoshop d-spacing measurement based on calibrated camera constants,N/A,Manual d-spacing comparison (SAED patterns; camera constant calibrated with AGAR S106 cross grating),N,SAED indexing: BCC structure for metallic iron; troilite 2C superstructure reflections vs NiAs 1C base reflections; NC-pyrrhotite non-integral superstructure spots (NC values 3.6–6.5); dark-field imaging using specific reflections to image phase distributions,"Quantitative EDX (Cliff-Lorimer): Fe/S atomic ratio to distinguish troilite (Fe/S ≈ 1.03 ± 0.04) from NC-pyrrhotite; EDX maps used to confirm elemental distributions (Fe, S, O, Si, Ca)",HR-STEM + FFT: imaging of (001) plane stacking and distortions in iron sulfides; qualitative lattice fringe analysis (no explicit d-spacing phase matching stated),HRTEM lattice fringes + SAED: metallic npFe0 grains (<5 nm) identified by bcc iron d-spacings (Fig. 6 FFT: iron 110 spacings); pyrrhotite superstructure reflections present in core and absent in disordered rim (SAED + FFT); olivine composition by TEM-EDX (Fo70),"FFT from BF-TEM images (no SAED): rutile (TiO2, polycrystalline 2–15 nm); trigonal Ti2O (P3̄m1, zone axis [1 1 2̄ 3]; a=2.983 Å, c=4.804 Å); triclinic Ti2O (P1, zone axis [5 16 12]; a=10.453 Å, b=10.895 Å, c=12.206 Å); d-spacings and zone axes matched to crystal structure parameters","Electron nanodiffraction (STEM mode, 0.1–0.3 mrad convergence, 295 mm camera length) + EDS; SAED for crystallographic characterization; FFT from HRTEM images (dolomite, ankerite, phosphide barringerite); d-spacing comparisons for carbonate phases",EDS quantification: compositions normalized to 100%; carbonate chemistry (MgCO3–CaCO3–(Fe+Mn)CO3 ternary) used for dolomite/ankerite ID; structural formulae from EDS spot analyses over 5–10 nm areas; detection limit <0.1 wt% (stated for TEM EDS measurements),SAED (few reflections due to beam sensitivity / poor crystallinity) matched against literature crystal structures (Dickens and Brown 1969 for gaylussite/pirssonite; McKie and Frankis 1977 for nyerereite); EDS cation ratios compared to theoretical mineral formulae (H and reliable O not measurable by EDS),"HRTEM lattice fringe imaging + FFT; EDS composition maps (no SAED; phase ID by d-spacings from HRTEM); phases identified: pentlandite, Fe-Ni-S, magnetite, serpentine, chrysotile, olivine, metallic Fe",Reviews SAED; NBD (nanobeam diffraction); CBED; HRTEM + FFT; aberration-corrected HAADF-STEM + FFT (atomic-resolution phase ID),N,SAED zone-axis patterns measured with Gatan DIFPack; compared to simulated diffraction patterns using SingleCrystal software package; confirms apatite single crystal (Ap.#1) and polycrystalline assemblage (Ap.#2),SAED zone-axis patterns; simulated SAED patterns using SingleCrystal (CrystalMaker Software); HRTEM lattice fringe imaging + FFT; inverse FFT with spot-pass filter (lattice deformation visualization),EELS oxidation state mapping by MLLS fitting; HAADF-STEM + EDS chemical mapping; Fe⁰ identified by anti-correlation with O K-edge and lattice fringe measurement in HR images,FFT of DF image lattice fringes for phase ID (olivine d-spacings); EDS composition maps,EELS peak position and lineshape comparison to reference spectra; qualitative valence state ID (np-Fe0 = metallic; matrix = Fe³⁺; olivine = Fe²⁺)
4D-STEM Orientation Mapping Method,"Algorithm, software module, and reference crystal structure database used for automated crystal orientation mapping (ACOM) from 4D-STEM datasets. Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.",Advanced,Read-Only,Text (free),"e.g., 'py4DSTEM ACOM module; template matching against CIF files from AMCSD for serpentine polymorphs (antigorite, chrysotile, lizardite)' | 'ESPRIT CRYSTAL ACOM (Bruker)' | 'N/A'",,2026-08-11,(none),,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EELS Background Subtraction Method,Method used to subtract the background beneath the ionization edge of interest to extract the net edge signal. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Advanced,Editable,Controlled list / Text,Power law (AE^-r) | Linear | Polynomial | Multiple linear least squares (MLLS) | Hartree-Slater | N/A | None,,2026-08-30,channel,,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EELS Plural Scattering Correction,Method applied to correct for multiple inelastic scattering events (plural scattering) that broaden edge fine structure. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Advanced,Editable,Controlled list,Fourier-log deconvolution | Fourier-ratio deconvolution | None | Unknown | N/A | None,,2026-08-30,(none),Critical for specimens thicker than ~0.5 inelastic mean free paths.,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EELS Chemical State Determination Method,"Method used to determine the chemical or oxidation state of an element from the fine structure of its ionization edge (ELNES), together with the reference data or calibration the determination relies on. Name the method family and cite the calibration curve or reference spectra used. Record 'N/A' where no chemical-state determination is made.",Advanced,Editable,Controlled list / Text,White-line intensity ratio (L3/L2) | Integral white-line ratio against a published calibration curve | Peak position and lineshape comparison to reference standards | Multiple linear least-squares (MLLS) fitting to reference spectra | Edge onset energy shift | N/A | None,,2026-08-30,(none),"The same edge yields different valence estimates under different calibrations and reference spectra, so a reported oxidation state is not comparable between studies unless the method and its reference data are stated.",Y,Y,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Integral white-line intensity ratio I(L3)/I(L2) → Van Aken & Liebscher (2002) universal calibration curve for Fe³⁺/ΣFe; MLLS fitting of Fe L2,3 ELNES with two reference spectra for oxidation state maps",N/A,"Peak position and lineshape comparison to reference standards (qualitative Fe valence state determination: Fe⁰, Fe²⁺, Fe³⁺)"
EDS Spectral Processing Type,"Method used to process EDS spectra and extract net peak intensities from raw spectral data. Applied before quantification (EDS Quantification Method). Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).",Advanced,Read-Only,Controlled list,Background fitting | Peak deconvolution | Top-hat filter | Gaussian fit | Filter fit | Unknown | N/A | None,,2026-08-30,(none),,Y,Y,N,,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N/A,N,N,N/A,N,N,N/A
Image Processing Methods Applied,Image processing steps applied to TEM or STEM images during or after acquisition. Non-linear processing steps that could affect quantitative interpretation should be documented explicitly.,Advanced,Editable,Text (free),"e.g., 'None (raw data presented)' | 'Low-pass Gaussian filter applied to HAADF images; HRTEM images processed with Wiener filter (HREM Research Inc.)' | 'FFT mask applied to remove periodic noise in HRTEM'",,2026-08-11,(none),,Y,Y,N,,N,Selective quantification: summed spectra extracted from specific phyllosilicate domains in EDS spectrum images,Sequential map acquisition combined in Python to control light-element volatilization,N,N,N,N,N,N,N,N,N,N,N,N/A,N,N,Inverse FFT with spot-pass filter for HRTEM images,N,N,N
Specimen Thickness Determination Method,Method used to estimate TEM foil thickness.,Advanced,Editable,Controlled list / Text,EELS log-ratio method (Malis et al. 1988) | Convergent-beam diffraction (CBED thickness fringes) | Kramers-Kronig analysis of low-loss EELS | FIB cross-section measurement | Estimated from preparation conditions | Not determined | N/A | None,,2026-08-30,(none),Required for EELS quantification (log-ratio) and for assessing multiple-scattering severity.,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-25,reported property,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-25,(none),"Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
EDS Calibration Standard(s),Reference material(s) used to validate EDS quantification or determine experimental k-factors or zeta-factors. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).,Basic,Editable,Text (free),"e.g., 'Cliff-Lorimer k-factors from ThermoFisher Velox manufacturer database (no external standard)' | 'NIST SRM 2063a (Fe-Ni alloy) used to derive experimental k(FeKa/NiKa)' | 'None (standardless analysis, relative compositions only)' | N/A",,2026-08-27,(none),TEM-EDS is less standardized than EPMA; many procedures rely on manufacturer k-factors without external calibration.,Y,Y,N,,N,N,N,N,k-factors from well-characterized standards (standards not specified); Thermo System7,N/A,"Troilite nodule from Cape York iron meteorite (Fe, S); terrestrial millerite from Sanany, Ural, Russia (Ni, S)",N,N,N/A,N,N,N,N,Standard sample with similar thickness and chemical composition recommended for quantitative EDS; enables ~0.1% compositional error,N,N,N/A,N,N,N/A
EELS Energy Calibration,Method and reference used to calibrate the EELS energy axis. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Advanced,Editable,Text (free),"e.g., 'Zero-loss peak set to 0 eV; CO2 gas peak at 292.74 eV used as external calibration reference (±0.1 eV tolerance)' | 'Dual-EELS mode; drift tube offset adjusted so ZLP centers at 0 eV' | 'Internal calibration using well-characterized edge in specimen (e.g., Fe L3 at 707.8 eV)' | N/A",,2026-08-27,(none),"Accurate calibration is required for ELNES edge identification, chemical-state analysis, and inter-lab comparability.",Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EELS reference standards collected on same microscope and spectrometer: FeNi metal (Fe⁰); wüstite (FeO) powder (Fe²⁺); synthetic Fe³⁺-bearing glass (Fe³⁺); magnetite Fe₃O₄ (mixed Fe²⁺/Fe³⁺) — Burgess & Stroud (2018b),N/A,N
Diffraction Calibration Reference,"Reference material or internal standard used to calibrate the electron diffraction camera constant (camera length × electron wavelength), enabling conversion of pixel distances to d-spacings.",Advanced,Editable,Text (free),"e.g., 'Au nanoparticle film deposited on specimen grid (d111=0.2355 nm)' | 'In-situ Pt strap nanocrystals (Pt d111=0.2265 nm)' | 'Pyrite in specimen as internal standard (d200=0.2710 nm)' | 'Manufacturer camera constant (verify with known phase before publication)'",,2026-08-11,(none),,N,N,Y,,N/A,N,N/A,"External standard (AGAR S106 cross grating, 3 mm)",N,N,N/A,N/A,N,N/A,N,N/A,AGAR S106 Cross Grating 3 mm (camera constant calibration),N/A,N/A,N/A,N,N,N/A,N/A,N/A
EDS Detection Limit,"Estimated detection limits by EDS under this procedure's conditions, one per reported concentration variable (one per analyte, these being the same set). Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).",Advanced,Basic,Numeric + unit / Text,"e.g., 'Typical ~0.5–1 wt% for light elements (Na, Mg, Al); ~0.1–0.5 wt% for transition metals (Fe, Ni) under standard STEM-EDS conditions with 0.7 sr detector' | 'Not determined' | N/A",,2026-08-24,reported property,,Y,Y,N,,N,N,N,N,N,N/A,N,N,N,N,N,<0.1 wt% (stated for TEM EDS measurements),N,N,EDS detection limit: ~1000 ppm (~0.1 wt%) for major elements,N,N,N/A,N,N,N/A
EDS Counting Statistics / Accumulation Criterion,"Quality criterion used to determine when sufficient EDS signal has been accumulated for a given pixel or point, in lieu of or in addition to a fixed live time. Expressed as a target relative uncertainty on major-element peak counts achieved by accumulating successive scan frames (e.g., ""1% counting statistics on major elements""; "">10% counting statistics""). Distinct from EDS Live Time per Point or Pixel, which records a fixed-duration setting. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).",Advanced,Editable,Text (free),1% counting statistics on major elements; >10% counting statistics; Fixed live time only (no accumulation criterion) | N/A,,2026-08-11,(none),,N,Y,N,,N,N,N,N,N,N,N,N,Successive layers averaged for >10% counting statistics,N,N,N,N,Successive scans accumulated until major element counts achieved 1% counting statistics,N/A,N,N,N/A,N,N,N/A
EDS Dead Time,Percent dead time reported by the EDS detector during the session — the fraction of total acquisition time the detector spent processing rather than counting. This field documents the resulting percentage as a session QC metric. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).,N/A,Basic,Numeric (%),"e.g., 10% | 25% | <40% | N/A",,2026-08-27,(none),Values above ~40% indicate excessive count rate and may degrade spectral quality and quantitative accuracy. EDS dead time correction is managed automatically by the detector electronics.,Y,Y,N,,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N/A,N,N,N/A,N,N,N/A
EELS Detection Limit,Estimated detection limit or minimum detectable concentration for target edges under this procedure. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).,Advanced,Basic,Numeric + unit / Text,"e.g., 'C K-edge detection limit ~0.1 at% in organic matter at 60 kV' | '~10 ppm for transition metals in glass' | 'Not determined' | N/A",,2026-08-26,channel,,Y,Y,N,,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,STEM-EELS detection limit: ~10 ppm for transition metals and lanthanides in powdered glass with high beam stability,N/A,N/A,N/A,N,N/A,N
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,Source: Aggregation module,2026-08-25,reported property,Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis.,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),Free text,Source: Core module,2026-08-25,(none),,Y,Y,Y,,Probe size <1 nm stated for STEM-EDS maps and profiles (Sec 2.6),Probe size 136 pm stated for EDS spectrum images (Methods/TEM/U of A),Beam energy range 80–300 keV; specific voltage per dataset not stated,N,2-nm probe stated for EDS spectrum images; final FIB section ~100 nm thick,"Ar ion milling (Fischione NanoMill, ultra-low energy, Kyushu Univ) applied as additional cleaning step after FIB thinning","k-factor standards: troilite (Cape York iron meteorite) for Fe and S; millerite (Sanany, Ural, Russia) for Ni and S; Ar ion milling (Fischione NanoMill, ultra-low energy, Kyushu Univ) applied as additional FIB section cleaning step","""ARM"" designation implies probe Cs-correction (JEOL naming convention) but corrector type/details not stated; Ar ion milling (Fischione NanoMill, ultra-low energy, Kyushu Univ) applied as additional FIB section cleaning step",Incident probe diameter 4 nm for spectrum imaging (9 nA); EDS spectrum images: successive layers combined for >10% counting statistics per pixel; solar flare track density ~2×10¹⁰ cm⁻² in RA-QD02-0211,"EDS quantification via Velox 2.14 using Brown-Powell ionization cross-section model; FIB foil preparation and STEM imaging at 30 kV/0.4 nA also performed on FEI Scios FIB/SEM (Institute of Geochemistry, CAS) as a coupled step prior to TEM analysis on Talos F200S",FIB sections transferred to Cu TEM half-grids (not standard full grids); nanodiffraction used 0.1–0.3 mrad convergence angle in STEM mode (quasi-parallel beam); some carbonate compositions and modulation measurements reported using Molecular Foundry TitanX EDS (see separate column),EDS analysis areas 5–10 nm (Molecular Foundry); compositions displayed as color-coded maps in Esprit 1.9; O abundances noted as subject to variable self-absorption; compositions normalized to 100%,"Na,Ca carbonate grains extremely beam-sensitive: amorphized under electron beam; samples re-analyzed in 4 sessions (Dec 2023 – Dec 2024) to track terrestrial alteration; NO FIB used (authors note FIB may destroy beam-sensitive Na,Ca carbonates); underlying TEM data deposited at AstroMat (Table A4 supplementary); note: same Goethe lab and instrument (Talos F200X G2) as in Zega2025",STEM probe diameter = 2 nm (used for EDS spectrum imaging); 1% counting statistics criterion for EDX accumulation. Same instrument (JEOL 2500SE at ARES JSC) as KellerBerger2014. Phase ID relies entirely on HRTEM+FFT (no SAED used).,"Review paper — no original analytical data. Key points: (1) FIB is dominant sample prep method in NEPS; plasma cleaning recommended to reduce contamination. (2) Aberration-corrected HAADF-STEM enables atomic-resolution phase ID. (3) Cryo-TEM holder recommended for beam-sensitive samples (clay minerals, Fe-Mn oxyhydroxides). (4) EDS detection limit ~1000 ppm; EELS preferred for trace elements and valence state analysis. DOI: 10.1021/acsearthspacechem.2c00278",Same instrument (JEOL 2500SE at JSC ARES) as KellerBerger2014 and Thompson2020. HAADF-STEM images shown in Figures 5–7 but no HAADF angles stated. EDS compositions in Table 2 are normalized to 100%; actual quantification method not stated. FIB prep technique references: Holzapfel et al. 2009; Seifert et al. 2022; Zega et al. 2007.,"HF5000 at K-ALFAA, UA. Gatan OneView camera used for both TEM images and SAED. Probe Cs corrector (3rd-order) present but corrector settings not stated. SAED DIFPack calibration reference not stated. This is the same facility (K-ALFAA) used by Zega2025 (Goethe-UA column). Data deposited at astromat.org per Table S1.","JEOL JEM-2200FS at NRL with in-column Omega energy filter; Gatan OneView camera; 200 keV. EFTEM Ca M-edge mapping (35 eV loss, 10-eV slit) used to distinguish Ca-rich augite from Ca-poor pigeonite lamellae in exsolved grain ""2pyx"". SAED simulated with SingleCrystal (CrystalMaker Software); [1-11] zone axis of pigeonite (P2₁/c) and augite (C2/c) confirmed. HRTEM + inverse FFT (spot-pass filter) for lattice deformation visualization. FIB section stored under N₂ and baked 140°C/8h under vacuum before TEM. Coordinated with Nion UltraSTEM200-X (same FIB section). Pt-welded to Cu TEM half-grid after initial in situ thinning.",Nion UltraSTEM200-X at NRL; dedicated aberration-corrected STEM; cold-FEG; 0.1 nm probe diameter; 40 pA; 200 keV. Gatan Enfinium ER Dual EELS (simultaneous low-loss + core-loss spectrum imaging). Bruker X-Flash windowless SDD EDS (0.7 sr). EELS Fe³⁺/ΣFe quantified by integral I(L3)/I(L2) ratio → Van Aken & Liebscher (2002) universal calibration curve. Oxidation state maps by MLLS fitting with 2 reference spectra; Fe⁰+Fe²⁺ not separated by MLLS (overlapping L3 peaks); Fe⁰ identified by anti-correlation with O K-edge. EDS: Cliff-Lorimer; detector-specific k-factors; 60% O assumed; no absorption correction. Coordinated with JEOL JEM-2200FS (same FIB section). EELS + EDS acquisition details in supplementary Fig. S1. Data deposited at Zenodo: 10.5281/zenodo.7439174.,"FEI Talos F200X at SINANO CAS, Suzhou; 200 kV; FE-STEM. HAADF-STEM + EDS for Fe distribution mapping in np-Fe0, glass matrix, olivine. Phase identification by FFT of DF image lattice fringes (olivine d-spacings confirmed). Sample CE5C0400YJFM00505 allocated by China National Space Administration; stored and mounted in Ar-filled glovebox at IGCAS CAS; Au-coated. FIB foils prepared by Wirth method at IGCAS CAS; <100 nm. Coordinated with Hitachi HF5000 (EELS at Shanghai Institute of Ceramics CAS) and PHI 700/710 Auger nanoprobe (at Tsinghua University).","Hitachi HF5000 at Shanghai Institute of Ceramics CAS; 200 kV; 100 pA; Gatan GIF Quantum ER System Model 965 parallel EELS spectrometer. Energy resolution: 0.5–0.7 eV FWHM at ZLP. Fe L3,2 edge: L3 peak positions 707.7 eV (Fe⁰), 707.2 eV (Fe²⁺), 709.0 eV (Fe³⁺). EELS acquired in DualEELS mode; 10 s point analysis, 18 s line scan. Reference standards: Fe metal + troilite (L6 ordinary chondrite GRV051874) for Fe⁰/Fe²⁺; terrestrial hematite for Fe³⁺; wüstite and hematite from Yao et al. 2018 (AES refs). ZLP aligned before spectral comparison. Background and continuum removal methods not stated. Valence state ID is qualitative (peak position + lineshape). Coordinated with FEI Talos F200X (EDS at SINANO) and PHI 700/710 Auger nanoprobe."
