Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied. Reference the software function or publication.",Basic,Read-Only,Text (free),"e.g., 'Normalised to NIST SRM 612; no additional downhole correction' | 'Exponential downhole fractionation correction in Iolite using NIST SRM 612' | 'Linear time-drift correction applied per analysis'",,2026-05-06,Y,Y,Y,,Multi-point external calibration using series of iron meteorite reference materials (North Chile Filomena as primary standard for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba for Ru/Rh/Pd/Re/Os/Ir/Pt; NIST SRM 1263a V-Cr steel for V/Cr/Fe/Co/Ni/Cu/As/Mo/W/Au),Internal normalization to MgO+FeO+SiO₂+P₂O₅ oxide sum corrects for point-to-point ablation yield variation; additional pixel-by-pixel normalization fixes oxide sum to 100 wt%,Run 1: Oxide sum normalization corrects for ablation yield variation; external calibration using glass GRMs (NIST + USGS + MPI-DING); Run 2: Cr from run 1 as IS corrects for ablation yield; external calibration with expanded glass GRM set,Oxide sum normalization to 100 wt% corrects for ablation yield and matrix effects; external calibration with MPI-DING and USGS glass GRMs,"External calibration using BCR-2g, BHVO-2g, BIR-1g; ²⁵Mg IS from EPMA corrects for ablation yield variation; no explicit downhole fractionation correction described",External calibration using calibration curve method with IVB iron meteorite standards; ⁶¹Ni as IS from EPMA corrects for ablation yield differences between sample and standard,External calibration using North Chile iron meteorite + NIST SRM 612 glass (yield correction applied in iolite 3D DRS for NIST relative to North Chile); ordinary least-squares fitting per 15 min calibration block; Fe+Ni+Co normalization eliminates need for independent EPMA IS,Same calibration approach as spot protocol (iolite 3D DRS; same yield correction),Femtosecond laser substantially reduces elemental fractionation and matrix effects (stated); non-matrix-matched external standards (NIST 612 + 614) used successfully with fs laser (verified by GRM accuracy assessment),Femtosecond laser reduces LIEF; NIST 610 external standard; Si IS from EMP corrects for ablation yield,Femtosecond laser reduces LIEF; NIST 610 external standard; Fe IS from EMP corrects for ablation yield; micronuggets identified from Au signal spikes and excluded from integration,External calibration using NIST 610 glass standard analyzed before and after session; oxide-sum normalization corrects for ablation yield variation; no explicit downhole fractionation correction described [P4],External calibration using NIST 610; EMP CaO as IS corrects for ablation yield; no explicit downhole correction described [P4]
Mass Bias Correction Strategy,"Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination. Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios.",Basic,Read-Only,Text (free),"e.g., 'Standard-sample bracketing against NIST 612' | 'Co-aspirated Tl, exponential law' | 'None (elemental concentrations only)'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,,2026-08-10,Y,Y,Y,,,,,,,,,,,,,,
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),"e.g., Counting statistics only (1σ on integrated signal, Longerich et al. 1996) | SD of n replicate analyses used as combined uncertainty estimate | Full propagation: counting + calibration standard + IS uncertainty (specify formula)",,2026-08-10,Y,Y,Y,,Standard deviation (SD) across individual integration cycles of raster scans; uncertainty propagation not formally described,Longerich et al. (1996) equation (3SD/S × √(1/Nb + 1/Na)),Longerich et al. (1996) for LOD; uncertainty for concentrations not formally described,Longerich et al. (1996) for LOD; uncertainty not formally described,N,2SE of individual spot measurements reported,N (iolite 4 computes uncertainty internally via Longerich et al. 1996),N (same as spot protocol),N (Iolite 4 internal uncertainty propagation implied),N,N,N (not stated) [P4],N (not stated) [P4]
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Applied: 6.4% offset in Ca/Si determined by comparison with EPMA (Jenner & O'Neill 2012)' | 'Not applied; Ca used as IS to cancel LIEF offset' | 'Not applicable'",,2026-05-06,Y,Y,Y,,N (no matrix offset correction; iron meteorite standards used to minimize matrix mismatch),N (oxide sum normalization approach is inherently matrix-independent within olivine composition range),N,N,N,N (fs laser minimizes LIEF; IVB iron meteorite standards used as matrix-matched reference),N (yield correction in iolite DRS addresses relative sensitivity differences between NIST SRM 612 and North Chile),N (same as spot protocol),N (fs laser minimizes matrix effects),N (fs laser),N (fs laser),N (not stated; agreement within <10% between oxide-sum normalization and EMP-based IS noted as validation) [P4],N (not stated) [P4]
Signal Integration Interval Method,"Approach used to select the stable signal interval for integration during data reduction, and to exclude anomalous signals from inclusions or cracks. For spot/transect analysis: involves identifying and excluding transient start/end instabilities within the time-resolved signal. For mapping analysis: corresponds to defining Volumes of Interest (VOIs) or applying phase masks across the 2D map (e.g., manual selection, automated clustering, threshold-based masking).",Basic,Read-Only,Text (free),"Manual visual inspection per analysis | Automated threshold (specify software and threshold) | Fixed time window applied uniformly | k-means clustering on multi-element map data | Phase mask applied using elemental threshold (e.g., P₂O₅ to exclude veinlets)",,2026-05-06,Y,Y,Y,,N (raster averages; selection method not described),"Manual visual inspection of time-resolved signal per line; anomalous spikes (inclusions, cracks, veinlets) excluded; P-rich veinlet regions identified and excluded from olivine averages","Time-resolved signals inspected manually; unstable intervals at start and end discarded; Cr heterogeneities and inclusion signals (elevated P, Ca, Co, Ni) identified and excluded from integration","Anomalous time steps excluded (inclusions, cracks, heterogeneity); manual inspection","Time steps with enhanced P, Ca, Co, Ni, Zn count rates (indicating inclusions or cracks) excluded from integration; manual inspection","Time-resolved signals monitored; analyses with elevated Mg, Si, P, S (inclusion indicators) excluded; stable signal intervals used for integration",Time-resolved LA-ICP-MS signals inspected per analysis; background interval (20 s) and ablation interval (40 s) selected; no automated spike exclusion described,Same procedure as spot protocol; signal integration for mapping not separately described,"Time-resolved signals inspected visually; flux blank contributions to pollution elements (V, Co, Zn, Ba, La, Ce, Ta, U) identified and subtracted; 9-spot grid homogeneity tested before analysis",Time-resolved LA-ICP-MS signal inspected; micronuggets identified from spikes in Au signal and excluded from integration to obtain smooth signals (verified by Fig. 1 in paper),Same approach as glass; micronugget identification from Au signal spikes critical for sulfide analyses,Time-lapse plots of each spot examined; only the plateau region used to quantify trace element abundances [P4],Time-lapse plots examined; only plateau region used (same as silicate protocol) [P4]
Signal Integration Time,"Actual integration time used for the ablation signal in this analysis, in seconds. This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal. It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded. Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.",N/A,Basic,Numeric (s),"e.g., 40 s | 60 s",,2026-07-24,Y,Y,N,,N/A (mapping) / ~20 s (Ge spots: 20 s ablation at 50 Hz),N/A (mapping),Run 1: ~50 s (34 runs covering 400 µm line + 10 s blank + washout); Run 2: same structure; actual integrated signal window within run not separately stated,20 s (spot ablation time; full ablation interval used for integration after exclusion of anomalous steps),N (parameters lost),N,40 s (full ablation interval used; background subtracted separately),N/A (mapping),45 s on-sample ablation (full ablation interval used for integration),~40 s (inferred from typical CetacAnalyte HE protocol; stable signal used),~40 s (same),N (not stated) [P4],N (not stated) [P4]
Spike / Outlier Filtering Approach,"Method used to identify and remove anomalous signal spikes arising from micronuggets, inclusions, cracks, or instrument artifacts during time-resolved signal processing. Editable because the specific implementation may vary between sessions while remaining within the procedure framework.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed in Iolite' | 'Statistical filter: data points >3σ from running mean removed' | 'No filtering applied' | 'Automated spike detection in SILLS'",,2026-07-24,Y,Y,Y,,"N (raster scans; ""failed to yield useful Ge abundances"" for Klamath Falls noted — implying visual quality control)",Manual identification and exclusion of P-rich veinlet pixels from olivine averages; anomalous spikes from inclusions excluded per line,"Manual inspection; analyses with elevated P, Ca, Co, Ni (phosphate or metal inclusions) excluded; Cr heterogeneities also flagged",Anomalous time steps excluded during manual inspection,"Time steps with enhanced P, Ca, Co, Ni, Zn excluded (inclusions and heterogeneities); Grubb's test applied to EPMA data for outlier detection","Monitoring of Mg, Si, P, S to check for micro-inclusions (sulfides); analyses with elevated inclusion signals excluded entirely",N (no explicit spike filtering described beyond background subtraction),N (mapping; iolite 3D DRS handles background; no per-pixel spike filtering described),"Homogeneity index (H) applied to test element distribution; Co, Ni, Cu in high-Si glass (GSR-1) identified as near-LOD and flagged; flux blank contributions to pollution elements subtracted",Micronuggets identified from Au signal spikes in time-resolved spectra; excluded from integration (smooth signals = fully dissolved Au; Fig. 1 shows this criterion),Same approach as glass; Au spike identification critical for determining solubility vs. nugget contribution,N (not explicitly stated; implied by plateau-region selection excluding non-stable intervals) [P4],N (same as silicate protocol) [P4]
Blank / Background Correction Method,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions.",Basic,Read-Only,Text (free),"e.g., 'Mean of 30 s pre-ablation gas blank subtracted per isotope per analysis' | 'Separate gas blank map (10 adjacent lines, laser off) acquired for each GRM; mean used for subtraction'",,2026-05-06,Y,Y,Y,,Gas blank measured before each raster analysis; mean background subtracted,Gas blank measured before each ablation line (10 scans of gas blank per mapping line); average background subtracted from each corresponding ablation line,Gas blank measured before each analysis (5 scans); average background value preceding each analysis subtracted from corresponding data,Gas blank measured before each spot analysis (8 scans); average background subtracted,Gas blank measured before each analysis (laser shutter closed); time steps with background-level signals excluded during data reduction,Gas blank measured before each spot; background period during single spot transient (rapid intensity rise and decay) used for background correction,Background signal measured for 20 s (laser shutter closed) before each 40 s ablation; background mean subtracted per isotope in iolite,Background (1 min) measured at session start; additional 3 measurements of NIST and North Chile used for calibration (background included in regression line for gas blank),Gas blank measured for 25 s before each ablation; background subtracted per isotope,N (background subtraction performed but method not explicitly described; implied from standard Agilent/iolite workflow),N (same as glass protocol),50 s background measurement before each analysis; background subtracted (method not explicitly described beyond counting duration) [P4],50 s background measurement before each analysis (same as silicate protocol) [P4]
Pulse/Analog Detector Nonlinearity Correction,Whether a correction was applied for nonlinear response at the transition between pulse-counting and analog detector modes.,Advanced,Editable,Controlled list / Text,Not applicable (instrument uses pulse counting only) | Applied: describe method and elements affected | Not applied (crossover threshold not reached for any element) | Not applied (known bias accepted) | N/A | None,,2026-05-14,Y,Y,Y,,Applied: triple mode detection at 65% duty cycle (pulse counting + analog + Faraday); specific cross-calibration not described,Applied: triple mode detection; cross-calibration between pulse-counting and analog modes performed,Applied: Run 1 medium resolution with Faraday for major elements; Run 2 low resolution; cross-calibration performed,Applied: triple mode detection,N (parameters lost),N (quadrupole X-series 2; single detector mode),"Applied: triple mode detector (pulse counting, analog, Faraday); low relative abundance isotopes chosen for Ni and Fe to allow analog mode measurement of major matrix elements",Applied (same as spot),Applied: dual detector mode (30 ms / 10 ms dwell alternation),N,N,N (not stated) [P4],N (not stated) [P4]
Isobaric Interference Corrections Applied,"Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Analyte-specific detail is captured in Interfering Species and Interference Correction Method.",Basic,Read-Only,Boolean,Yes | No,Analyte-Specific,2026-08-10,Y,Y,Y,,Yes — ⁹⁹Ru used instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺ interference; isotope selection minimizes other interferences,Yes — cool plasma conditions (800 W) applied to reduce argide-based interferences (³⁶Ar²⁴Mg⁺ on ⁶⁰Ni; ⁴⁰Ar³¹P⁺ on ⁷¹Ga); oxide-based interferences minimized by dry plasma and tuning; mathematical corrections in some cases (Table C1),Yes — cool plasma not applicable (normal plasma); argide corrections less critical; oxide interferences monitored; spectral interference list in Table C1,Yes — same instrument settings; interference corrections as per Table C1,N (parameters lost; medium resolution mode implies interference resolution by mass),"No explicit corrections applied; monitoring of Mg, Si, P, S used to detect and exclude inclusion-contaminated analyses rather than correct for spectral interferences","Yes — isotope selection to minimize interferences (e.g., ⁹⁹Ru instead of ¹⁰¹Ru to avoid ⁴⁰Ar⁶¹Ni⁺; low abundance isotopes for Fe and Ni)",Yes (same as spot protocol),"Yes — fs laser substantially reduces oxide and matrix interferences; flux blank contributions to V, Co, Zn, Ba, La, Ce, Ta, U identified and subtracted",Yes (fs laser reduces interferences),Yes (fs laser reduces interferences),N (not stated) [P4],N (not stated) [P4]
Interfering Species,"Elemental or molecular species (oxides, argides, doubly charged ions) overlapping with the measured isotope.",Basic,Read-Only,Text (free),"e.g., '⁸⁷Rb on ⁸⁷Sr; ¹⁷⁰Yb²⁺ on ⁸⁵Rb' | '⁴⁰Ar³¹P⁺ on ⁷¹Ga; ⁴⁴Ca¹⁶O⁺ on ⁶⁰Ni' | '¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu' | 'None'",Analyte-Specific,2026-05-13,Y,Y,Y,,⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (most abundant Ru isotope → use ⁹⁹Ru instead),Per Table C1: ¹²C¹³C⁺ on ²⁵Mg; ¹⁵N¹⁶O⁺ on ³¹P; ²⁹Si¹⁶O⁺ on ⁴⁵Sc; ³⁵Cl¹⁶O⁺ on ⁵¹V; ⁴⁰Ar¹³C⁺ on ⁵³Cr; ⁴⁰Ar¹⁵N⁺ on ⁵⁵Mn; ⁴⁰Ar¹⁶OH⁺ on ⁵⁷Fe; ⁴⁴Ca¹⁶O⁺ and ²⁴Mg³⁶Ar⁺ on ⁶⁰Ni; ³¹P⁴⁰Ar⁺ and ⁵⁵Mn¹⁶O⁺ on ⁷¹Ga; ¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu (most significant interferences in bold),Same interference list as mapping (Table C1); argide-based interferences less critical without cool plasma,Same interference list (Table C1),N (parameters lost; medium resolution resolves most polyatomic interferences),"Sulfide inclusions detectable via ³³S signal; phosphide inclusions via ³¹P; silicate inclusions via ²⁴Mg, ²⁹Si (used to exclude contaminated analyses)",⁴⁰Ar⁶¹Ni⁺ on ¹⁰¹Ru (primary concern) → ⁹⁹Ru used instead; Fe and Ni matrix species on other isotopes minimized by isotope selection,Same as spot protocol,"Li₂B₄O₇ flux blank contains V, Co, Zn, Ba, La, Ce, Ta, U at detectable levels; subtracted as blank contribution",N,N,N (not stated) [P4],N (not stated) [P4]
Interference Correction Method,"Equation or procedure used to correct for isobaric interferences, including the production rate factor and the reference material used to measure it.",Basic,Read-Only,Text (free),"e.g., 'Mathematical correction: ⁸⁷Sr_corrected = ⁸⁷Sr_measured − f(⁸⁷Rb/⁸⁵Rb) × ⁸⁵Rb' | 'Cool plasma (800 W) reduces ⁴⁰Ar-based argides by >90% for ⁶⁰Ni and ⁷¹Ga' | 'KED mode (He collision gas 4 ml min⁻¹) suppresses polyatomic interferences'",Analyte-Specific,2026-05-13,Y,Y,Y,,Isotope selection: ⁹⁹Ru chosen over ¹⁰¹Ru; other isotopes chosen to minimize interference,"Physical mitigation: cool plasma (800 W RF) reduces ³⁶Ar²⁴Mg⁺ on ⁶⁰Ni, ⁴⁰Ar³¹P⁺ on ⁷¹Ga by >90%; oxide interferences minimized by dry plasma conditions; background subtraction corrects for time-invariant Ar-based interferences; mathematical corrections applied where feasible per Appendix C4",Argide corrections less critical (normal plasma); oxide-based interferences minimized by tuning; same interference list but without cool plasma mitigation,Same approach as mapping; oxide sum normalization partially corrects for matrix-dependent interferences,"Medium mass resolution (M/ΔM ≈ 4000) separates many polyatomic interferences from analyte peaks (e.g., resolves ⁵⁴Fe⁺ from ⁵⁴Cr⁺)","Exclusion-based approach: analyses with elevated Mg, Si, P, S (from silicate, phosphate, or sulfide inclusions) excluded entirely rather than applying mathematical corrections",Isotope selection minimizes interferences; low-abundance isotopes of Fe and Ni chosen for analog mode to prevent detector saturation,Same isotope selection as spot protocol,"Flux blank subtraction: blank contribution to each pollution element (V, Co, Zn, Ba, La, Ce, Ta, U) measured in procedure blanks and subtracted; LOQ for pollution elements = blank value + 10SD",N,N,N (not stated) [P4],N (not stated) [P4]
Isotope Dilution Data Reduction Method,Mass balance approach used to calculate sample mass fractions from spike-sample isotope ratio measurements in isotope dilution (ID) analysis. Record 'None' if isotope dilution is not used.,Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Memory Effect Mitigation,"Procedure applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses, or from incomplete aerosol washout between adjacent pixels in raster mapping mode. For mapping, the mitigation strategy involves controlling scan speed relative to washout time to ensure each pixel signal is sufficiently free of the preceding pixel's contribution.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",,2026-07-24,Y,Y,Y,,N (washout time between analyses not stated; sequential raster scans),Gas blank measured before each ablation line; adequate washout ensured by duty cycle timing,Washout time: 11 s between runs (runs include 400 µm line + blank + washout),10 s washout time after 20 s spot ablation (specified in acquisition protocol),N (parameters lost),N (single spot analyses; no sequential memory effect described),N (washout between analyses not explicitly described; sequential spot analyses),N (mapping; ARIS-equivalent not described; single mapping session),25 s washout between analyses (25 s gas blank → 45 s ablation → 25 s washout),N,N,N (not stated) [P4],N (not stated) [P4]
Normalization / Standards-Based Correction,"Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials, or stoichiometric normalization applied per pixel in mapping. Distinct from the primary internal standard approach captured in Internal Standard Approach.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",,2026-05-06,Y,Y,Y,,External calibration with iron meteorite and NIST SRM 1263a V-Cr steel standards; no post-acquisition normalization described,100% oxide sum normalization (MgO+FeO+SiO₂+P₂O₅) applied per pixel after IS-normalized external calibration (equations 3–4 in Appendix C1) to fix final mass balance,Run 1: 100% oxide sum normalization; Run 2: Cr IS from Run 1 applied; no further post-acquisition normalization,100% oxide sum normalization to 100 wt% for phosphate minerals (Appendix C3),"No post-acquisition normalization; BCR-2g, BHVO-2g, BIR-1g used for calibration; Marjalahti as in-session control",No post-acquisition normalization; calibration curve method using IVB standards provides direct quantification,Fe+Ni+Co=100% sum normalization applied in iolite 3D Trace Elements DRS as final step; yield correction factors applied for NIST SRM 612 relative to North Chile,Fe+Ni+Co=100% normalization (mandatory for multi-phase mapping); same iolite DRS as spot,No post-acquisition normalization beyond IS approach (two IS elements applied element-specifically),No post-acquisition normalization beyond IS (Si from EMP),No post-acquisition normalization beyond IS (Fe from EMP),100% oxide total normalization applied per analysis for silicates and oxides; NIST 610 used for external calibration before and after session [P4],No post-acquisition normalization; EMP CaO applied directly as IS; NIST 610 for external calibration [P4]
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from Primary Calibration Standard Name, which identifies the material used, and from Per-Analyte Calibration Strategy, which states which approach applies to which analyte: this field records the resulting factor itself.",Basic,Editable,Text (free),"e.g., ID-TIMS: EARTHTIME ET535 or ET2535 tracer, calibrated per Condon et al. (2015) and McLean et al. (2015), with stated uncertainty | LA-ICP-MS: matrix-matched primary zircon RM of independently known age (91500, GJ-1, Plesovice) used for downhole-fractionation and Pb/U calibration, with the accepted age and its source",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured. Follows the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),"e.g., 'Total procedural Pb blank 0.6 +/- 0.3 pg; blank Pb composition 206Pb/204Pb = 18.55, 207Pb/204Pb = 15.50, 208Pb/204Pb = 38.08 (long-term lab average, n = 42)' | 'Gas blank 120 counts/s at mass 206, subtracted per analysis'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from Spike / Outlier Filtering Approach, which removes anomalous points within a single analysis: this field decides which whole analyses enter the reported value. Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Basic,Basic,Text (free),"e.g., '30 grains analysed, 24 included; excluded 4 discordant beyond -5% to +10% and 2 with Pb*/Pbc < 20' | 'All analyses included, no filter applied'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Age Calculation Method,"The equation used to convert the measured quantities into an age or date, together with a citation for that equation. Name the equation unambiguously; where a procedure supports more than one, state which is used and under what conditions. Required by every geochronology reporting standard surveyed (Condon et al. 2024; Schaen et al. 2021; Rooney et al. 2024; Flowers et al. 2024; Kohn et al. 2024; Mahan et al. 2023). Distinct from Age Model and Software, which records how multiple analyses are combined into a single reported result.",Basic,Read-Only,Text (free),"e.g., 206Pb/238U and 207Pb/235U date equations (Jaffey et al. 1971 decay constants) | 207Pb/206Pb date | Wetherill concordia intercept | Tera-Wasserburg concordia intercept | 238U/206Pb-207Pb/206Pb isochron",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Reported Date Type,"The kind of date or age the procedure reports. Most dating systems derive several different date types from the same measurements, so a reported age is ambiguous without this. Where more than one type is reported, list all, separated by semicolons. Kohn et al. (2024) carry this as a named required item (""fission-track age type""); the equivalent distinction is required by all five other standards surveyed.",Basic,Editable,Controlled list,Weighted mean 206Pb/238U | Weighted mean 207Pb/235U | Weighted mean 207Pb/206Pb | Concordia upper intercept | Concordia lower intercept | Tera-Wasserburg intercept | Single-grain date | Isochron date | Other: specify | N/A | None,,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Inherited or Initial Signal Correction,"How any non-radiogenic, inherited or pre-existing component of the measured signal was accounted for, including the composition assumed, its source, and its uncertainty. Record 'None' where the measured quantity accumulates from zero and no such component exists. Applies to five of the six dating systems surveyed; fission track is the sole genuine exception, as tracks accumulate from zero. D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure. Same reasoning as Rule 5's Constants and Reference Values Used.",Basic,Editable,Text (free),"e.g., Stacey & Kramers (1975) two-stage model Pb at the interpreted age | 204Pb-based correction | 207Pb-based correction | 208Pb-based correction | Tera-Wasserburg anchored lower intercept | measured Pb from co-genetic K-feldspar | None (Pb*/Pbc sufficiently high that correction is negligible; state the threshold)",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Radiogenic Fraction of Measured Signal,"The proportion of the measured signal that is radiogenic, as opposed to inherited, initial or otherwise non-radiogenic. Measured companion to Inherited or Initial Signal Correction, which is procedure-level: this field records what the session actually produced. It indicates how strongly the reported age depends on the assumed non-radiogenic composition — a result derived from a low radiogenic fraction is sensitive to that assumption in a way a high-fraction result is not, and that sensitivity is invisible from the age and its uncertainty alone. Follows the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),"Reported for U-Pb as Pb*/Pbc, the ratio of radiogenic to common Pb. e.g., '1250' | '18' | 'range 12-340 across 24 analyses'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Age Model,"The statistical model used to combine individual analyses into a single reported age, including any criteria governing which model is applied. This is a methodological choice that changes the result: a Model-1 and a Model-3 regression of the same data yield different ages and different uncertainties. Record the model only — the software implementing it belongs in Data Reduction Software (Group 3), whose scope already extends to age calculation; where reduction and age regression use different packages, list both there. Required in some form by all six geochronology reporting standards surveyed.",Basic,Editable,Text (free),"e.g., Weighted mean with MSWD-based uncertainty expansion | York (1969) regression | IsoplotR Model-1, escalating to Model-3 where MSWD exceeds the stated cutoff | Bayesian / Monte Carlo age model",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Age Datum / Reference Epoch,"The zero point from which the reported age is measured, where this is not the present day, and the date it corresponds to. Record 'Present day' where the conventional datum applies. Explicitly required wherever the datum is not the present: year of sample collection for luminescence (Mahan et al. 2023), end of irradiation for 40Ar/39Ar decay corrections (Schaen et al. 2021).",Advanced,Basic,Text (free),Present day (the conventional datum for U-Pb; state explicitly rather than leaving blank),,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
