Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas"
Calibration Standard Measurement Frequency,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",Basic,Read-Only,Text (free),Before and after every 5 unknowns | Bracketing every 10 samples | Start and end of session only | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift.",Y,Y,Y,,Standards at start and end of session; external bracketing,Each GRM analyzed 3–5× before and 3–5× after sample analyses (all GRMs at start and end of session),Same as mapping protocol; GRMs at start and end,MPI-DING and USGS GRMs measured at beginning and repeatedly at end of each session,N (parameters lost),NIST SRM 612 and North Chile measured bracketing every 15 unknowns: 3×STD → 3×STD → 10×unknowns → repeat,NIST SRM 612 and North Chile at start and end of mapping session (30 min map; 3 measurements each before and after)
Secondary Reference Materials,"Quality-control reference materials analysed as unknowns alongside samples in the same session to assess accuracy and monitor drift. Include material name, source, and citation for accepted values used for comparison. Editable because selection of secondary RMs may vary across sessions.",Basic,Editable,Text (free),"e.g., 'NIST SRM 610 (Jochum et al. 2011); GOR132-G (Jochum et al. 2006)' | 'BHVO-2G (GeoReM), BCR-2G (GeoReM)'",,2026-08-26,defines: standard,,Y,Y,Y,,N,"MPI-DING glasses: GOR132-G, StHs6/80-G, T1-G; USGS: BCR-2G, BHVO-2G — measured as unknowns alongside samples and compared to GeoReM preferred values (Table 1 and Section 3.3)",Same GRM set measured as unknowns for accuracy assessment,Same MPI-DING and USGS glasses measured as unknowns for accuracy assessment,"BCR-2G, BHVO-2G, BIR-1G processed as unknowns alongside samples (same standards as calibration — in-session validation)",North Chile Filomena measured as unknown on different days over 4 months to assess intermediate precision (Table 3 and Fig. 2),North Chile and NIST SRM 612 measured before and after mapping session as QC materials
Detection Limit,"Session detection limit, one per reported concentration variable (one per analyte, these being the same set), expressed in µg g⁻¹, ng g⁻¹, or wt% as appropriate. Mandatory at analysis level to demonstrate the reliability of reported near-detection-limit concentrations. The calculation method is captured separately in Detection Limit Method.",Advanced,Basic,Numeric + unit / Text,"e.g., '0.003 ng g⁻¹ (La), 0.005 ng g⁻¹ (Ce) (3σ background; Longerich et al. 1996)' | 'Range: 0.005–23.5 µg g⁻¹ across all measured isotopes (Pettke et al. 2012)'",,2026-08-26,reported property,,Y,Y,Y,,LODs not formally reported; all concentrations above detection limits except noted (Cr in some irons below LOD),"LODs reported in Table E1 (Appendix E) for 2D mapping: average of all individual pixel LODs (Na=1, Nb=10 per Longerich et al. 1996)","LODs reported in Table 1 for line scan + spot trace elements: Na=24, Nb=5 per Longerich et al. 1996; LOQ = 10SD criterion",N (LODs not separately reported for phosphate analyses),N (LODs not stated; concentrations reported for all nuclides above background),"LODs in µg g⁻¹ (median from Table 3): As 2, Au 0.1, Co 2, Cr 19, Cu 0.8, Fe 5300, Ga 0.1, Ge 0.2, Ir 0.04, Ni 60, Os 0.09, Pd 0.06, Pt 0.4, Re 0.02, Rh 0.05, Ru 0.3, W 0.09; calculated per Longerich et al. (1996) in iolite 4",N (LODs not separately reported for mapping)
Detection Limit Method,Reference or description of the method used to calculate session detection limits. Mandatory at analysis level. Must be consistent with the method applied to generate the Detection Limit values reported above.,Basic,Read-Only,Controlled list / Text,3σ blank | 3σ background | 3σ counting statistics | 3× blank mean | Poisson statistics | N/A | None,,2026-08-26,reported property,,Y,Y,Y,,N (not formally stated),Longerich et al. (1996): LOD = (3SD/S) × √(1/Nb + 1/Na),Longerich et al. (1996); LOQ = 10SD criterion (same equation),N (not formally stated),N,Longerich et al. (1996) — implemented in iolite 4; sample-individual LOD calculated per analysis,N (LODs not separately reported for mapping)
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported.,Advanced,Basic,Controlled list / Text,10σ blank | 10σ background | 10× LOD | 3.3× LOD | S/N ≥ 10 | N/A | None,Source: ICP-MS module,2026-08-26,reported property,Concentrations between LOD and LOQ are detectable but not reliably quantifiable.,Y,Y,Y,,N,N,LOQ = 10SD of background counts (10σ criterion; Chernonozhkin et al. 2021),N,N,N,N
Counting Statistics Error,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated. Derived from the counts on the analyte together with those on any background or blank subtracted from it. Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance.",Advanced,Basic,Text (free),"e.g., '2SE predicted from counting statistics over 45 cycles' | '~0.6% (1 sigma), counting statistics plus propagated uncertainties' | 'N/A'",,2026-08-26,sample > sampling unit x reported property,,Y,Y,Y,,N,N,N,N,"Theoretical 1 sigma analytical precision from counting statistics plus propagation of uncertainties, ~0.6% on the Fe/Mn ratio of pallasite olivine; the observed standard deviations per meteorite range from 0.6 to 4.0%",N,N
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",Source: ICP-MS module,2026-08-26,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three.",Y,Y,Y,,N,N,N,N,N,N,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),"e.g., '1σ RSD = 1.5% for Ba, 2.3% for La (n=5 on NIST SRM 612 per session)' | 'Mapping: 4% 1σ RSD across 3 GRM map areas at session start and end (n=3)'",Source: ICP-MS module,2026-08-26,standard x reported property,,Y,Y,Y,,N (within-session precision not formally assessed; standard deviation across raster scans reported per element),Intermediate precision for mapping: most elements at ≥10 µg g⁻¹: 5–15% RSD; elements <10 µg g⁻¹: 5–30% RSD; assessed from repeated GRM mapping in 8 sessions over 1 year (n=8 for each element),"LOD calculated per analysis (Na=24, Nb=5); precision not formally reported as separate metric",N (precision not formally reported for phosphate analyses),N (within-session precision not formally assessed),"RSD <15% for most elements in Arraias meteorite under repeatability conditions (n=20 spot analyses); Cr: 20%, Ir: 16%, Os: 20% RSD; assessed by repeated analysis of same meteorite in one session",N (within-session precision for mapping not separately assessed)
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),"e.g., '2σ RSD = 3% for Eu/Eu* on GOR132-G across 12 sessions over 8 months' | '1σ RSD = 2% for most REEs on BHVO-2G across 17 sessions over 3 years (n=85 analyses)'",Source: ICP-MS module,2026-08-26,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.,Y,Y,Y,,N,N,N,N,N,Intermediate precision: RSD ≤20% for most elements assessed over multiple days on North Chile iron meteorite measured as unknown (n multiple days over 4 months),N
Analytical Accuracy and Assessment Method,"Offset between measured and accepted values for secondary reference materials, and the method used to assess it. Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed. Report systematic biases and their likely causes. Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities.",Basic,Basic,Text (free),"e.g., 'Within ±5% of GeoReM preferred values for most REEs on GOR132-G (n=15); +8% for Nb (known matrix sensitivity)' | '±3% for all elements on BHVO-2G vs. GeoReM (n=20)'",Source: ICP-MS module,2026-08-26,standard x reported property,,Y,Y,Y,,"LA-ICP-MS concentrations agreed with NAA within ±40% for most elements (LA relative to NAA); within ±10% for Ni, Co, Ga; differences in W (4.39 vs 1.06 ng g⁻¹ for Cerro del Inca by LA vs INAA) and Au/As up to 30% — attributed to heterogeneous sampling scale difference between techniques",No systematic bias demonstrated; MgO+FeO+SiO₂+P₂O₅ oxide sums after mapping varied 95–99 wt% (average near 100%); LA-ICP-MS Fa# values compared to EMPA values for 8 PMG (Fig. 5A shows good agreement),Trace element accuracy verified against literature INAA and EPMA data; major elements verified by comparison with EMPA results from same section,N (accuracy assessment not separately stated for phosphate analyses),Sc: good agreement with Davis (1977) INAA values within measurement scatter; overall accuracy verified by comparison with literature INAA and SIMS data; Marjalahti used as in-session control (Mn deviation from reference value noted as 4.2% above Ryder 1984),"Results for 9 known iron meteorites: >75% of published values within LA-ICP-MS result ± 2s (two standard deviations); relative differences mostly within ±20% (Fig. 2); specific discrepancies: Ir in Arraias +40%, Ir in Nossa Senhora +64%, Co and Ga in Campo del Cielo (heterogeneity issues); trend lines slope 0.87–1.17 with R² = 0.97–1.0",N (mapping accuracy not separately assessed from spot protocol)
,,,,,,,,,,,,,,,,,,,,
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. The procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,Source: Aggregation module,2026-08-26,reported property,Answers whether a reported aggregate is defensible as a single population. The value cannot be known before the analysis.,Y,Y,Y,,,,,,,,
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-08-26,(none),,Y,Y,Y,,"Raster scans used for main element dataset (23 elements); separate spot analyses on 5 irons for more precise Ge abundances (150 µm spot, 50 Hz, 20 s); two different analysis modes represent distinct protocols but are reported in same paper",Pallasite olivine 2D mapping in cool plasma mode (800 W) is a core methodological innovation; total of 8 PMG meteorites mapped; P-rich veinlets excluded from olivine averages; Fa# values verified against EMPA (Fig. 5A),"Multi-run sequential design is the key methodological innovation: Run 1 (major elements, 30 µm, MR) provides Cr IS for Run 2 (trace elements, 130 µm, LR); pre-ablation pass removes surface contamination before Run 1","Phosphate phase identification used LA-ICP-MS data combined with EMPA and µXRF (Fig. D9); merrillite, stanfieldite, farringtonite distinguished by REE patterns; oxide sum normalization applied to phosphate (not olivine IS approach)",Many instrument parameters lost during extended lab shutdown; 75 µm spot size in medium resolution mode on sector-field ICP-MS is unusual combination for olivine trace elements; 25 Mg IS from EPMA is standard approach,Key innovations: (1) use of two measurement standards (NIST SRM 612 + North Chile) with yield correction in iolite 3D DRS; (2) Fe+Ni+Co=100% normalization eliminates need for EPMA IS; Cr results not quantitative due to argide interferences,Elemental mapping used as classification tool even without prior knowledge of structural variations (kamacite vs. plessite); demonstrates LA-ICP-MS mapping applicability for iron meteorite classification
